transcript_BRO_F len_BRO_F n_var_BRO_F
TRINITY_DN0_c0_g1_i7 1669 0
TRINITY_DN100042_c0_g1_i2 376 14
TRINITY_DN10008_c0_g2_i1 481 0
TRINITY_DN10015_c0_g1_i5 1327 1
TRINITY_DN10015_c0_g3_i3 349 0
TRINITY_DN10017_c0_g1_i32 4156 0
TRINITY_DN1001_c1_g1_i11 1075 20
TRINITY_DN10020_c0_g1_i1 400 0
TRINITY_DN10021_c2_g1_i2 964 0
TRINITY_DN10022_c0_g1_i6 2407 1
TRINITY_DN10023_c1_g2_i2 817 0
TRINITY_DN10029_c0_g3_i2 463 0
TRINITY_DN10033_c0_g1_i1 766 0
TRINITY_DN10040_c0_g1_i1 517 2
TRINITY_DN10041_c0_g1_i6 382 5
TRINITY_DN100495_c0_g1_i1 562 0
TRINITY_DN10050_c2_g1_i1 601 0
TRINITY_DN10057_c0_g1_i2 1519 0
TRINITY_DN1005_c0_g1_i2 496 0
TRINITY_DN10060_c0_g1_i8 1417 15
TRINITY_DN10060_c1_g2_i1 691 0
TRINITY_DN10060_c1_g3_i3 1462 0
TRINITY_DN10064_c0_g1_i1 322 9
TRINITY_DN100671_c2_g1_i1 337 3
TRINITY_DN100672_c0_g1_i2 358 0
TRINITY_DN10067_c0_g1_i7 511 21
TRINITY_DN1006_c1_g1_i11 4096 0
TRINITY_DN100750_c0_g1_i3 2572 0
TRINITY_DN1007_c0_g1_i1 1171 0
TRINITY_DN1007_c2_g1_i3 1474 11
TRINITY_DN10080_c1_g1_i7 1576 0
TRINITY_DN100810_c0_g1_i1 679 0
TRINITY_DN100904_c0_g1_i1 415 9
TRINITY_DN10093_c0_g1_i2 1528 0
TRINITY_DN100_c0_g3_i5 535 1
TRINITY_DN100_c1_g2_i7 1243 1
TRINITY_DN101010_c0_g1_i1 307 2
TRINITY_DN101173_c0_g1_i6 631 33
TRINITY_DN101233_c0_g1_i2 298 0
TRINITY_DN10136_c0_g1_i8 451 0
TRINITY_DN1013_c0_g2_i1 847 17
TRINITY_DN101408_c1_g1_i1 319 0
TRINITY_DN1014_c1_g1_i4 955 25
TRINITY_DN10152_c0_g1_i6 5833 4
TRINITY_DN1015_c1_g1_i6 412 7
TRINITY_DN10164_c0_g1_i2 1045 0
TRINITY_DN10164_c0_g4_i1 619 5
TRINITY_DN10174_c1_g1_i3 727 0
TRINITY_DN10177_c0_g1_i6 1609 53
TRINITY_DN10177_c0_g2_i12 682 0
TRINITY_DN1017_c0_g1_i7 2191 6
TRINITY_DN101886_c0_g1_i2 382 10
TRINITY_DN10190_c0_g1_i3 556 0
TRINITY_DN101946_c0_g1_i4 403 13
TRINITY_DN101948_c0_g1_i2 514 4
TRINITY_DN10194_c0_g1_i7 367 0
TRINITY_DN10197_c0_g1_i2 832 39
TRINITY_DN1019_c0_g1_i14 2353 1
TRINITY_DN1019_c1_g1_i1 1501 1
TRINITY_DN1019_c1_g2_i1 727 1
TRINITY_DN1019_c2_g1_i6 1588 1
TRINITY_DN1019_c2_g2_i2 412 10
TRINITY_DN1019_c3_g2_i5 463 18
TRINITY_DN101_c0_g1_i6 1003 39
TRINITY_DN10216_c0_g1_i11 334 0
TRINITY_DN102177_c0_g1_i3 385 17
TRINITY_DN1021_c0_g1_i4 1198 1
TRINITY_DN1021_c0_g2_i1 487 0
TRINITY_DN10226_c0_g1_i2 421 14
TRINITY_DN10227_c0_g1_i4 868 13
TRINITY_DN1022_c0_g2_i7 550 16
TRINITY_DN1022_c2_g1_i2 829 20
TRINITY_DN10230_c0_g1_i1 301 2
TRINITY_DN10233_c0_g1_i18 541 0
TRINITY_DN102363_c0_g1_i1 304 4
TRINITY_DN1023_c1_g2_i3 553 3
TRINITY_DN10241_c0_g2_i2 673 0
TRINITY_DN10241_c0_g3_i4 412 1
TRINITY_DN10243_c1_g1_i1 673 5
TRINITY_DN10247_c0_g1_i9 544 32
TRINITY_DN1025_c0_g2_i7 1186 1
TRINITY_DN1026_c0_g1_i4 1423 10
TRINITY_DN10272_c0_g1_i11 964 10
TRINITY_DN1027_c3_g1_i1 445 1
TRINITY_DN102835_c0_g1_i4 316 0
TRINITY_DN1029_c0_g1_i17 1420 1
TRINITY_DN103032_c0_g1_i1 538 0
TRINITY_DN103069_c0_g1_i1 325 0
TRINITY_DN10306_c0_g1_i1 304 1
TRINITY_DN10308_c0_g1_i5 769 3
TRINITY_DN1030_c0_g1_i6 721 33
TRINITY_DN1030_c0_g2_i19 721 28
TRINITY_DN10313_c0_g3_i2 772 0
TRINITY_DN10314_c0_g1_i5 382 0
TRINITY_DN10315_c0_g1_i1 577 0
TRINITY_DN10315_c0_g2_i5 496 5
TRINITY_DN10318_c0_g1_i10 574 1
TRINITY_DN1031_c0_g2_i6 2182 0
TRINITY_DN103202_c0_g2_i8 1192 0
TRINITY_DN10328_c0_g1_i7 985 10
TRINITY_DN10328_c0_g3_i1 433 0
TRINITY_DN1032_c0_g1_i9 481 5
TRINITY_DN1032_c0_g2_i1 301 0
TRINITY_DN1032_c1_g1_i4 4291 75
TRINITY_DN1032_c3_g1_i10 1123 19
TRINITY_DN1032_c7_g3_i2 379 11
TRINITY_DN10344_c0_g1_i4 1501 49
TRINITY_DN10348_c0_g1_i7 754 17
TRINITY_DN103496_c0_g2_i1 385 13
TRINITY_DN1034_c0_g1_i9 301 2
TRINITY_DN10353_c0_g1_i12 4171 0
TRINITY_DN10355_c0_g1_i1 724 0
TRINITY_DN103592_c0_g1_i1 364 13
TRINITY_DN10359_c1_g1_i3 2026 0
TRINITY_DN10360_c0_g1_i7 2440 0
TRINITY_DN10367_c0_g1_i4 904 6
TRINITY_DN1036_c0_g1_i12 475 0
TRINITY_DN103710_c0_g1_i2 469 0
TRINITY_DN1037_c1_g1_i3 619 19
TRINITY_DN10380_c0_g1_i2 634 0
TRINITY_DN103841_c0_g2_i1 364 0
TRINITY_DN103850_c0_g1_i4 403 0
TRINITY_DN103894_c0_g1_i2 550 0
TRINITY_DN10399_c0_g1_i3 1948 42
TRINITY_DN1039_c0_g1_i7 718 20
TRINITY_DN103_c1_g1_i11 2134 1
TRINITY_DN10400_c0_g1_i1 418 11
TRINITY_DN104017_c0_g2_i1 301 11
TRINITY_DN104093_c0_g1_i2 298 0
TRINITY_DN10412_c0_g2_i3 379 0
TRINITY_DN10419_c0_g1_i7 643 0
TRINITY_DN1041_c0_g1_i8 1102 25
TRINITY_DN10422_c0_g1_i5 571 1
TRINITY_DN10422_c0_g2_i1 718 12
TRINITY_DN10422_c1_g1_i2 988 40
TRINITY_DN104242_c0_g1_i4 307 0
TRINITY_DN104252_c0_g1_i3 541 16
TRINITY_DN1042_c1_g1_i8 448 1
TRINITY_DN10430_c0_g2_i1 946 7
TRINITY_DN104310_c0_g1_i4 3907 4
TRINITY_DN104365_c0_g1_i1 364 7
TRINITY_DN1043_c3_g1_i1 484 1
TRINITY_DN10440_c0_g1_i13 2191 33
TRINITY_DN10443_c0_g1_i24 595 11
TRINITY_DN10443_c0_g2_i1 790 5
TRINITY_DN10443_c0_g3_i1 337 0
TRINITY_DN10446_c0_g1_i2 331 6
TRINITY_DN1045_c0_g1_i33 3778 87
TRINITY_DN104631_c0_g1_i1 508 0
TRINITY_DN1046_c0_g1_i11 1267 45
TRINITY_DN104766_c2_g1_i3 397 14
TRINITY_DN104780_c0_g1_i1 622 0
TRINITY_DN104780_c1_g1_i2 343 0
TRINITY_DN10479_c0_g5_i1 310 1
TRINITY_DN10482_c1_g1_i6 961 7
TRINITY_DN10485_c0_g1_i2 391 0
TRINITY_DN10485_c1_g1_i3 304 7
TRINITY_DN104923_c0_g1_i1 406 4
TRINITY_DN104_c0_g3_i2 2917 0
TRINITY_DN10503_c0_g1_i5 367 0
TRINITY_DN105051_c0_g1_i5 2035 0
TRINITY_DN1050_c0_g2_i1 1942 21
TRINITY_DN1051_c0_g1_i5 2458 3
TRINITY_DN1051_c4_g1_i1 388 5
TRINITY_DN105228_c0_g1_i3 391 2
TRINITY_DN10525_c1_g1_i2 604 0
TRINITY_DN105298_c0_g1_i1 655 11
TRINITY_DN1052_c0_g2_i1 334 1
TRINITY_DN10531_c0_g1_i14 418 19
TRINITY_DN105332_c0_g1_i1 304 0
TRINITY_DN10534_c0_g1_i2 904 5
TRINITY_DN10536_c0_g1_i5 991 0
TRINITY_DN105373_c1_g1_i1 559 0
TRINITY_DN105395_c0_g1_i1 319 11
TRINITY_DN1053_c0_g1_i2 1618 1
TRINITY_DN105473_c0_g1_i1 412 0
TRINITY_DN10548_c0_g1_i1 898 28
TRINITY_DN10554_c0_g1_i9 346 10
TRINITY_DN10555_c0_g1_i1 1891 1
TRINITY_DN10555_c0_g2_i5 1669 0
TRINITY_DN10556_c0_g1_i6 481 0
TRINITY_DN105587_c0_g3_i1 340 0
TRINITY_DN10559_c0_g1_i7 412 11
TRINITY_DN1055_c1_g1_i11 916 38
TRINITY_DN105606_c1_g2_i1 316 0
TRINITY_DN10561_c0_g1_i6 376 8
TRINITY_DN105650_c0_g1_i3 499 11
TRINITY_DN10565_c0_g1_i4 1246 23
TRINITY_DN10568_c0_g1_i1 1141 24
TRINITY_DN10573_c0_g1_i2 1897 4
TRINITY_DN10576_c0_g1_i5 493 12
TRINITY_DN1057_c0_g2_i2 9379 1
TRINITY_DN10584_c0_g1_i2 907 0
TRINITY_DN10589_c0_g1_i6 7144 0
TRINITY_DN1058_c0_g1_i2 715 0
TRINITY_DN105975_c0_g1_i3 481 12
TRINITY_DN105_c1_g2_i1 487 0
TRINITY_DN105_c3_g1_i1 397 0
TRINITY_DN106049_c0_g1_i4 439 0
TRINITY_DN1060_c2_g2_i4 394 8
TRINITY_DN1061_c0_g2_i1 433 17
TRINITY_DN106221_c2_g1_i1 436 0
TRINITY_DN106319_c0_g1_i7 1075 0
TRINITY_DN106347_c0_g1_i1 337 0
TRINITY_DN10634_c0_g2_i1 907 35
TRINITY_DN10635_c0_g1_i2 532 1
TRINITY_DN10635_c2_g1_i2 1102 4
TRINITY_DN106369_c0_g1_i1 502 19
TRINITY_DN1063_c2_g1_i5 922 0
TRINITY_DN1063_c8_g1_i1 3751 0
TRINITY_DN10643_c0_g1_i7 688 19
TRINITY_DN106440_c1_g1_i1 319 0
TRINITY_DN106488_c0_g1_i4 652 0
TRINITY_DN1064_c0_g1_i4 1423 1
TRINITY_DN10657_c0_g2_i1 1018 1
TRINITY_DN1065_c0_g1_i12 2458 8
TRINITY_DN10663_c0_g1_i1 1384 40
TRINITY_DN106716_c0_g1_i4 307 7
TRINITY_DN106736_c0_g1_i1 304 11
TRINITY_DN10679_c0_g1_i5 361 1
TRINITY_DN106881_c0_g1_i1 316 0
TRINITY_DN1068_c0_g1_i5 1543 10
TRINITY_DN106906_c0_g2_i2 307 0
TRINITY_DN106_c3_g1_i1 691 1
TRINITY_DN107053_c0_g1_i1 337 0
TRINITY_DN107126_c0_g1_i2 379 10
TRINITY_DN10713_c0_g1_i7 907 26
TRINITY_DN1071_c0_g1_i5 1567 63
TRINITY_DN10720_c1_g2_i1 484 0
TRINITY_DN10723_c0_g1_i6 1585 28
TRINITY_DN10723_c1_g1_i5 1345 42
TRINITY_DN107250_c0_g1_i1 373 8
TRINITY_DN107276_c0_g1_i1 319 9
TRINITY_DN1072_c4_g1_i5 1531 6
TRINITY_DN10738_c0_g1_i4 370 7
TRINITY_DN1073_c5_g1_i8 1837 24
TRINITY_DN1073_c8_g1_i3 913 0
TRINITY_DN1074_c0_g1_i9 3511 1
TRINITY_DN1074_c1_g2_i13 949 13
TRINITY_DN10751_c1_g1_i5 352 8
TRINITY_DN107521_c0_g1_i1 532 0
TRINITY_DN107565_c0_g1_i5 337 2
TRINITY_DN1075_c0_g1_i3 3136 0
TRINITY_DN10766_c0_g2_i2 364 0
TRINITY_DN107705_c0_g1_i1 523 0
TRINITY_DN107745_c0_g1_i4 517 1
TRINITY_DN10794_c0_g1_i2 1306 0
TRINITY_DN10794_c1_g1_i3 970 0
TRINITY_DN107_c4_g1_i5 1456 0
TRINITY_DN107_c7_g1_i1 1489 1
TRINITY_DN108020_c0_g1_i1 433 0
TRINITY_DN108020_c0_g2_i1 421 0
TRINITY_DN10807_c0_g2_i1 385 0
TRINITY_DN108111_c0_g1_i5 499 0
TRINITY_DN108129_c0_g1_i3 523 0
TRINITY_DN10814_c0_g1_i3 301 10
TRINITY_DN108274_c0_g1_i3 424 9
TRINITY_DN10828_c0_g1_i5 298 7
TRINITY_DN108372_c0_g1_i1 463 0
TRINITY_DN1083_c0_g2_i3 1285 2
TRINITY_DN1083_c0_g3_i1 754 1
TRINITY_DN1083_c2_g1_i3 6703 0
TRINITY_DN108407_c0_g1_i1 376 0
TRINITY_DN10845_c0_g1_i2 475 2
TRINITY_DN10846_c0_g1_i4 703 0
TRINITY_DN1084_c0_g1_i1 1273 1
TRINITY_DN1085_c0_g1_i4 1519 0
TRINITY_DN10868_c0_g1_i3 445 0
TRINITY_DN10877_c0_g1_i3 670 9
TRINITY_DN108809_c1_g1_i1 445 7
TRINITY_DN10889_c0_g2_i9 340 0
TRINITY_DN108907_c0_g2_i1 526 0
TRINITY_DN108908_c0_g2_i1 313 0
TRINITY_DN10892_c0_g1_i5 556 5
TRINITY_DN1089_c0_g1_i4 3838 46
TRINITY_DN1089_c0_g2_i2 1555 4
TRINITY_DN108_c0_g1_i3 2977 21
TRINITY_DN10909_c0_g1_i2 967 38
TRINITY_DN1090_c0_g1_i15 3952 51
TRINITY_DN1090_c1_g2_i1 895 5
TRINITY_DN10916_c0_g1_i4 550 2
TRINITY_DN10919_c0_g1_i6 1456 3
TRINITY_DN1091_c0_g1_i1 4477 3
TRINITY_DN1091_c1_g1_i29 2077 6
TRINITY_DN10932_c1_g1_i1 586 0
TRINITY_DN10935_c0_g1_i2 1183 1
TRINITY_DN10935_c2_g1_i2 850 0
TRINITY_DN10937_c0_g1_i6 1144 11
TRINITY_DN109395_c0_g2_i2 400 0
TRINITY_DN10939_c1_g1_i8 1015 0
TRINITY_DN1093_c1_g1_i9 1768 54
TRINITY_DN1093_c4_g1_i3 508 13
TRINITY_DN1093_c5_g2_i1 754 1
TRINITY_DN109408_c0_g1_i1 343 0
TRINITY_DN10940_c0_g1_i5 496 6
TRINITY_DN109416_c0_g1_i1 2857 0
TRINITY_DN10950_c2_g1_i1 415 0
TRINITY_DN109546_c0_g1_i8 349 16
TRINITY_DN109579_c0_g1_i1 400 3
TRINITY_DN1095_c0_g1_i7 1489 57
TRINITY_DN1095_c1_g2_i3 3676 164
TRINITY_DN1095_c7_g1_i6 451 8
TRINITY_DN10962_c0_g2_i20 490 0
TRINITY_DN10967_c0_g1_i4 607 16
TRINITY_DN109719_c0_g1_i1 427 0
TRINITY_DN1097_c1_g1_i1 2014 2
TRINITY_DN109846_c0_g1_i1 430 20
TRINITY_DN109853_c0_g1_i1 358 3
TRINITY_DN109868_c0_g1_i4 355 0
TRINITY_DN1098_c0_g1_i5 1813 14
TRINITY_DN109906_c0_g1_i1 427 0
TRINITY_DN109908_c0_g1_i6 2137 0
TRINITY_DN109_c2_g1_i3 559 14
TRINITY_DN11009_c0_g6_i3 1474 1
TRINITY_DN11010_c0_g1_i2 1522 1
TRINITY_DN11016_c0_g1_i2 304 0
TRINITY_DN1101_c1_g1_i9 1717 1
TRINITY_DN1102_c0_g1_i4 970 0
TRINITY_DN1103_c0_g2_i4 748 0
TRINITY_DN11040_c0_g1_i8 664 29
TRINITY_DN11046_c0_g1_i3 550 0
TRINITY_DN11048_c0_g1_i11 823 21
TRINITY_DN1104_c0_g2_i1 421 3
TRINITY_DN1104_c34_g1_i1 1249 1
TRINITY_DN110539_c0_g1_i2 343 0
TRINITY_DN1105_c1_g1_i2 1672 71
TRINITY_DN110687_c2_g1_i1 307 0
TRINITY_DN11069_c0_g2_i3 700 1
TRINITY_DN1106_c3_g1_i2 1570 13
TRINITY_DN11070_c0_g1_i1 544 0
TRINITY_DN1107_c1_g1_i1 3379 0
TRINITY_DN1107_c3_g1_i12 1729 34
TRINITY_DN1107_c6_g1_i1 370 9
TRINITY_DN110816_c0_g1_i1 388 12
TRINITY_DN11081_c0_g1_i8 319 3
TRINITY_DN11085_c0_g1_i6 334 8
TRINITY_DN1108_c0_g1_i5 865 0
TRINITY_DN110908_c0_g1_i1 568 0
TRINITY_DN1109_c1_g1_i3 3862 2
TRINITY_DN1110_c1_g1_i3 472 11
TRINITY_DN11119_c0_g1_i7 502 10
TRINITY_DN11126_c0_g2_i3 655 0
TRINITY_DN11132_c0_g1_i12 976 3
TRINITY_DN11134_c0_g2_i3 1738 2
TRINITY_DN11134_c0_g4_i8 6148 2
TRINITY_DN11138_c0_g1_i2 394 7
TRINITY_DN111417_c0_g1_i1 325 2
TRINITY_DN111440_c0_g1_i4 373 8
TRINITY_DN11153_c0_g1_i12 1108 29
TRINITY_DN11160_c0_g1_i11 904 31
TRINITY_DN11166_c0_g2_i18 931 16
TRINITY_DN11169_c0_g2_i1 499 7
TRINITY_DN111736_c0_g1_i2 301 0
TRINITY_DN111741_c0_g1_i3 502 9
TRINITY_DN11178_c0_g1_i19 9568 0
TRINITY_DN11186_c0_g1_i3 427 2
TRINITY_DN11188_c3_g1_i2 1198 0
TRINITY_DN11190_c0_g4_i1 394 0
TRINITY_DN111954_c0_g4_i2 994 3
TRINITY_DN1119_c0_g1_i18 3154 11
TRINITY_DN111_c0_g1_i7 304 8
TRINITY_DN11200_c0_g1_i10 913 47
