OG BRO-BGM BAT-BGM BAT-BRO
OG0003129 3.75 1.23 4.18
OG0003130 4.90 7.18 8.33
OG0003131 4.97 0.67 4.34
OG0003132 44.61 41.50 3.17
OG0003133 3.05 1.77 2.86
OG0003135 5.83 1.59 3.00
OG0003136 2.83 14.91 14.91
OG0003137 4.56 2.20 4.79
OG0003138 2.25 3.17 2.04
OG0003139 6.83 4.24 5.59
OG0003140 5.62 8.95 7.40
OG0003141 24.69 28.86 38.63
OG0003142 1.81 1.58 2.25
OG0003143 22.41 1.71 22.75
OG0003144 2.61 0.98 2.61
OG0003146 4.91 2.85 5.93
OG0003149 2.93 1.58 2.47
OG0003150 4.42 1.76 4.07
OG0003151 3.79 1.96 2.85
OG0003152 2.90 3.20 3.80
OG0003153 3.20 2.38 3.29
OG0003154 5.88 1.20 6.56
OG0003155 5.75 3.03 5.58
OG0003156 6.49 3.66 4.88
OG0003158 4.26 2.10 4.70
OG0003159 1.69 0.70 2.17
OG0003160 10.72 2.93 9.79
OG0003161 3.42 1.33 3.70
OG0003162 5.76 2.79 5.47
OG0003164 2.38 1.49 2.45
OG0003165 2.92 1.13 3.05
OG0003166 2.95 0.70 3.06
OG0003167 8.54 6.80 9.69
OG0003168 6.11 1.88 5.99
OG0003169 12.59 4.23 13.65
OG0003170 3.28 1.76 3.45
OG0003171 3.61 1.26 3.69
OG0003172 6.70 1.83 7.42
OG0003173 3.55 1.53 2.87
OG0003174 1.60 0.78 1.38
OG0003175 2.74 0.95 2.95
OG0003176 11.98 0.94 12.84
OG0003178 6.96 2.20 6.49
OG0003179 2.69 2.00 2.61
OG0003180 83.25 3.73 10.87
OG0003181 0.88 0.88 0.59
OG0003182 5.50 2.18 5.05
OG0003183 66.82 8.50 64.15
OG0003185 4.29 1.94 4.32
OG0003186 3.58 2.84 4.88
OG0003187 1.54 0.86 1.64
OG0003188 3.80 3.35 3.09
OG0003189 5.84 1.98 5.44
OG0003190 5.17 2.38 8.03
OG0003191 1.42 0.71 1.73
OG0003192 2.54 4.31 5.87
OG0003193 3.37 1.67 6.18
OG0003194 1.82 1.48 1.94
OG0003195 2.96 1.30 3.07
OG0003196 7.47 1.53 8.32
OG0003197 84.60 5.34 98.48
OG0003198 3.68 1.85 3.19
OG0003199 2.34 1.07 2.54
OG0003200 5.30 1.27 6.94
OG0003201 4.92 2.34 4.29
OG0003202 7.19 5.63 3.30
OG0003203 9.90 6.28 2.08
OG0003205 1.75 1.35 1.67
OG0003206 2.97 1.44 3.31
OG0003207 2.20 1.03 1.96
OG0003208 30.03 29.47 4.30
OG0003209 2.51 1.15 2.96
OG0003210 1.41 0.82 1.41
OG0003212 0.56 1.57 2.09
OG0003213 3.88 1.81 3.42
OG0003214 0.82 0.27 0.55
OG0003215 8.75 13.94 2.69
OG0003216 29.95 2.87 28.16
OG0003217 3.19 2.52 4.42
OG0003218 3.56 1.92 3.89
OG0003219 2.87 2.59 3.95
OG0003220 4.71 7.11 5.56
OG0003221 3.41 1.40 3.56
OG0003222 5.13 1.23 5.38
OG0003223 15.01 24.02 3.39
OG0003224 2.96 1.34 3.28
OG0003225 2.58 -0.00 -nan
OG0003226 2.69 1.76 2.34
OG0003227 4.27 2.37 4.06
OG0003228 1.40 0.80 1.00
OG0003229 6.32 -nan 8.02
OG0003230 13.38 9.38 6.64
OG0003231 1.90 0.82 2.39
OG0003232 3.60 3.75 6.31
OG0003233 2.81 26.95 29.45
OG0003234 9.01 4.77 11.68
OG0003235 2.22 2.18 1.28
OG0003236 2.72 1.07 5.01
OG0003237 2.06 1.44 2.08
OG0003238 7.32 0.64 7.08
OG0003239 3.04 4.85 5.86
OG0003240 5.57 7.42 11.68
OG0003241 3.02 5.57 7.39
OG0003242 3.02 1.74 3.09
OG0003243 2.29 3.28 4.15
OG0003244 1.82 0.81 1.76
OG0003245 2.15 1.10 2.09
OG0003246 3.68 1.85 3.80
OG0003247 1.27 0.55 0.89
OG0003248 3.27 1.54 3.67
OG0003249 7.66 2.72 7.21
OG0003250 6.45 3.67 8.88
OG0003251 3.64 2.81 4.30
OG0003252 3.33 2.03 4.55
OG0003253 1.32 1.22 1.13
OG0003254 1.14 0.64 1.14
OG0003255 6.93 4.10 5.02
OG0003256 2.65 2.49 3.51
OG0003257 3.03 3.73 3.47
OG0003258 6.91 3.40 7.67
OG0003259 3.59 1.15 4.32
OG0003260 5.31 2.58 4.58
OG0003261 2.55 0.70 3.17
OG0003262 9.84 7.95 4.96
OG0003263 1.74 4.98 5.16
OG0003264 1.84 0.39 1.42
OG0003265 2.03 1.52 1.70
OG0003266 4.30 2.18 4.20
OG0003267 4.78 1.77 4.59
OG0003268 2.93 1.45 3.23
OG0003269 4.36 2.05 6.02
OG0003270 4.49 1.56 4.94
OG0003271 1.99 1.29 2.18
OG0003272 7.37 2.21 7.78
OG0003273 1.51 0.45 1.51
OG0003274 2.33 1.06 2.14
OG0003275 1.61 1.26 1.96
OG0003276 4.76 4.03 1.82
OG0003277 2.25 0.74 2.04
OG0003278 17.63 55.87 13.02
OG0003279 4.67 2.17 5.11
OG0003280 3.06 2.54 2.13
OG0003281 1.02 0.33 1.02
OG0003282 4.34 0.93 4.40
OG0003284 1.20 0.48 1.20
OG0003285 1.77 1.48 2.06
OG0003286 3.51 2.52 3.47
OG0003287 4.60 2.37 4.37
OG0003288 1.40 0.77 1.46
OG0003289 1.89 1.52 2.34
OG0003290 0.75 0.50 2.29
OG0003291 2.14 1.81 2.43
OG0003292 5.74 7.32 5.85
OG0003293 0.94 0.71 0.24
OG0003294 6.67 4.47 9.57
OG0003295 1.27 1.10 1.78
OG0003297 5.55 3.80 4.56
OG0003299 7.81 2.45 2.80
OG0003300 3.35 1.44 3.76
OG0003301 8.40 4.97 7.88
OG0003302 2.07 0.91 1.37
OG0003303 9.86 3.12 2.19
OG0003304 1.80 0.67 1.91
OG0003305 18.71 22.03 10.52
OG0003307 2.46 1.14 2.52
OG0003308 4.17 2.18 4.25
OG0003309 3.07 2.21 3.07
OG0003310 6.79 6.05 3.46
OG0003312 2.61 1.54 2.63
OG0003313 7.43 3.85 3.94
OG0003314 3.05 10.87 11.74
OG0003315 2.27 18.30 20.89
OG0003316 2.76 1.21 2.55
OG0003317 1.76 1.09 2.16
OG0003318 6.19 4.17 2.21
OG0003319 2.77 2.37 2.63
OG0003320 3.21 1.41 2.48
OG0003321 76.78 74.49 6.14
OG0003322 2.59 1.40 1.88
OG0003323 1.59 1.14 1.23
OG0003324 1.81 1.41 1.75
OG0003325 1.44 1.08 1.65
OG0003326 1.23 0.95 0.82
OG0003327 7.42 4.83 3.78
OG0003328 2.11 1.12 1.87
OG0003329 5.47 3.71 3.78
OG0003330 4.10 0.71 4.35
OG0003331 1.64 0.99 1.73
OG0003332 8.90 5.04 10.61
OG0003333 3.67 1.35 3.26
OG0003335 6.49 2.70 5.73
OG0003336 34.70 0.72 4.46
OG0003337 1.72 0.79 1.66
OG0003338 3.58 1.13 3.84
OG0003339 3.24 5.23 4.31
OG0003340 27.15 1.40 36.59
OG0003341 2.41 0.74 2.80
OG0003342 24.69 31.55 29.61
OG0003343 6.09 3.15 6.59
OG0003344 2.25 1.45 1.45
OG0003345 4.73 2.60 4.58
OG0003346 4.49 3.09 4.74
OG0003347 4.62 1.43 4.73
OG0003348 3.73 1.89 3.96
OG0003349 0.82 3.97 1.09
OG0003350 5.41 3.09 5.12
OG0003351 3.65 1.62 3.17
OG0003352 9.05 0.95 9.61
OG0003353 1.91 3.80 1.91
OG0003354 3.09 1.30 3.44
OG0003355 4.49 1.69 4.89
OG0003357 3.82 1.78 3.47
OG0003358 19.88 3.44 5.52
OG0003359 1.08 1.30 1.52
OG0003360 3.55 1.00 4.18
OG0003361 1.99 8.08 9.05
OG0003362 1.38 0.92 1.84
OG0003363 4.06 3.31 4.59
OG0003364 9.19 5.78 7.06
OG0003365 3.09 2.22 2.82
OG0003367 1.82 3.31 3.57
OG0003368 2.36 3.02 4.20
OG0003369 1.79 1.39 2.41
OG0003370 4.88 0.87 5.05
OG0003371 15.42 10.41 9.10
OG0003372 1.54 0.74 1.65
OG0003373 3.00 1.86 3.04
OG0003374 2.93 3.71 3.95
OG0003375 2.85 1.80 3.32
OG0003377 4.05 0.91 4.53
OG0003378 4.92 1.63 4.96
OG0003380 1.46 0.62 1.67
OG0003381 14.94 12.15 4.13
OG0003382 3.93 2.89 2.88
OG0003383 3.94 0.84 4.25
OG0003384 3.85 2.59 3.70
OG0003385 10.83 3.02 3.90
OG0003386 3.96 3.24 3.41
OG0003387 24.75 6.69 27.19
OG0003388 3.35 2.07 4.59
OG0003389 2.84 2.09 2.12
OG0003390 1.39 0.55 1.95
OG0003391 2.33 9.31 2.99
OG0003392 1.30 0.55 2.35
OG0003393 5.06 1.48 4.49
OG0003394 4.12 5.93 6.04
OG0003396 6.27 3.57 3.25
OG0003397 3.19 1.46 3.25
