transcript_BGM_F len_BGM_F n_var_BGM_F
TRINITY_DN0_c12_g1_i2 1465 4
TRINITY_DN0_c132_g1_i3 511 4
TRINITY_DN0_c15_g1_i2 835 11
TRINITY_DN0_c1_g1_i6 1531 22
TRINITY_DN0_c2_g2_i1 706 2
TRINITY_DN0_c5_g1_i10 2314 66
TRINITY_DN100075_c0_g1_i2 319 10
TRINITY_DN100086_c0_g1_i4 2470 1
TRINITY_DN1000_c2_g1_i8 1261 19
TRINITY_DN100115_c0_g2_i1 463 6
TRINITY_DN100194_c0_g1_i2 535 8
TRINITY_DN10019_c0_g1_i1 1282 45
TRINITY_DN1001_c0_g1_i1 1369 2
TRINITY_DN1001_c1_g3_i2 907 3
TRINITY_DN100203_c0_g1_i1 367 9
TRINITY_DN100203_c0_g4_i1 307 4
TRINITY_DN10022_c0_g2_i3 1936 56
TRINITY_DN10024_c2_g3_i3 508 2
TRINITY_DN10026_c0_g1_i1 385 16
TRINITY_DN10028_c0_g1_i2 916 21
TRINITY_DN10028_c1_g1_i3 325 2
TRINITY_DN100295_c0_g4_i1 319 9
TRINITY_DN1002_c1_g1_i1 991 1
TRINITY_DN100371_c0_g1_i2 1885 4
TRINITY_DN1003_c0_g1_i2 502 8
TRINITY_DN1003_c3_g1_i1 1510 2
TRINITY_DN100448_c0_g1_i1 574 20
TRINITY_DN10044_c1_g1_i7 880 1
TRINITY_DN10045_c0_g2_i2 832 11
TRINITY_DN100536_c1_g1_i5 2968 1
TRINITY_DN10054_c0_g1_i1 553 1
TRINITY_DN100560_c1_g1_i3 310 10
TRINITY_DN10056_c0_g2_i1 313 1
TRINITY_DN10058_c2_g1_i1 637 3
TRINITY_DN100670_c0_g1_i7 592 1
TRINITY_DN10068_c0_g1_i28 2956 12
TRINITY_DN1006_c0_g3_i1 859 2
TRINITY_DN10071_c0_g1_i2 4702 100
TRINITY_DN100720_c0_g1_i3 307 7
TRINITY_DN10076_c0_g1_i1 673 1
TRINITY_DN10084_c0_g1_i9 643 4
TRINITY_DN100850_c0_g1_i14 2140 3
TRINITY_DN10090_c0_g2_i1 745 4
TRINITY_DN10090_c0_g4_i2 403 2
TRINITY_DN100959_c0_g1_i8 733 1
TRINITY_DN100_c0_g1_i4 3148 3
TRINITY_DN10103_c0_g1_i2 1291 20
TRINITY_DN1010_c0_g1_i3 1891 3
TRINITY_DN1010_c1_g1_i4 3907 3
TRINITY_DN1010_c2_g2_i4 3841 18
TRINITY_DN1010_c2_g4_i1 2623 3
TRINITY_DN1010_c3_g1_i7 1012 1
TRINITY_DN10113_c0_g1_i6 2074 1
TRINITY_DN10119_c0_g1_i1 523 13
TRINITY_DN10119_c0_g2_i9 763 17
TRINITY_DN1011_c2_g1_i6 430 1
TRINITY_DN101202_c0_g1_i2 2278 1
TRINITY_DN10123_c0_g2_i4 2065 1
TRINITY_DN10125_c0_g1_i2 421 18
TRINITY_DN10127_c0_g1_i14 556 14
TRINITY_DN1012_c0_g1_i1 1327 18
TRINITY_DN1012_c1_g3_i9 1882 60
TRINITY_DN10131_c1_g2_i7 397 8
TRINITY_DN101336_c0_g2_i1 520 6
TRINITY_DN10134_c0_g1_i5 619 6
TRINITY_DN10136_c0_g3_i6 1270 6
TRINITY_DN1013_c0_g1_i5 1300 4
TRINITY_DN10142_c0_g1_i5 406 10
TRINITY_DN10143_c0_g1_i6 514 19
TRINITY_DN101450_c0_g1_i4 1234 4
TRINITY_DN101476_c0_g1_i2 331 2
TRINITY_DN101506_c0_g1_i2 331 2
TRINITY_DN10150_c0_g1_i3 856 1
TRINITY_DN101693_c0_g1_i4 418 1
TRINITY_DN10171_c0_g1_i4 709 2
TRINITY_DN101814_c0_g1_i1 415 6
TRINITY_DN101824_c0_g1_i2 430 4
TRINITY_DN101824_c0_g2_i1 421 19
TRINITY_DN10183_c0_g1_i4 337 11
TRINITY_DN1018_c0_g1_i5 1531 9
TRINITY_DN1018_c1_g2_i1 427 1
TRINITY_DN1018_c2_g1_i1 472 3
TRINITY_DN101905_c0_g1_i6 385 3
TRINITY_DN10196_c1_g1_i4 328 1
TRINITY_DN1019_c0_g1_i1 2269 4
