OG BAT_1+2_gc BAT_3rd_gc BRO_1+2_gc BRO_3rd_gc BGM_1+2_gc BGM_3rd_gc
OG0002803 43.88 48.20 45.80 48.95 42.86 41.96
OG0002804 57.91 81.70 56.30 84.25 57.48 84.65
OG0002805 53.17 91.71 53.66 92.68 45.69 59.83
OG0002806 48.54 70.76 48.46 66.96 48.06 63.18
OG0002808 52.98 83.51 47.00 81.74 53.15 82.52
OG0002810 41.35 64.93 41.96 65.91 42.86 66.23
OG0002811 52.86 98.68 59.66 79.32 53.48 91.44
OG0002813 49.53 75.90 49.80 77.28 49.73 76.03
OG0002815 58.21 86.94 59.98 82.54 61.01 86.54
OG0002817 49.78 90.18 48.32 94.17 50.42 95.76
OG0002818 49.82 73.87 50.17 70.45 47.26 74.39
OG0002819 55.25 92.59 55.25 91.36 56.60 86.79
OG0002820 46.44 65.18 46.67 65.28 45.48 77.62
OG0002821 49.74 60.15 50.26 62.98 49.74 60.99
OG0002822 34.12 45.88 34.88 46.30 35.71 48.65
OG0002823 46.19 92.30 45.81 94.27 46.17 93.14
OG0002824 46.84 88.10 47.21 90.71 46.67 87.82
OG0002825 52.83 73.77 53.28 78.84 52.76 74.22
OG0002826 56.04 67.15 61.22 78.95 56.02 67.55
OG0002827 59.43 85.28 65.10 91.37 60.39 87.45
OG0002829 56.21 96.50 58.26 94.08 57.85 96.28
OG0002830 55.02 81.56 55.44 84.50 54.97 82.68
OG0002831 51.26 80.29 52.20 84.50 51.05 79.96
OG0002832 50.95 67.30 57.17 72.48 47.65 58.99
OG0002834 48.77 63.63 49.79 66.15 49.58 65.16
OG0002835 45.73 63.07 46.29 62.00 45.86 62.86
OG0002837 46.23 80.04 48.47 84.35 47.09 86.49
OG0002838 54.17 87.04 53.19 86.81 53.12 90.75
OG0002840 58.99 84.31 59.73 85.32 59.30 86.01
OG0002841 47.64 76.09 47.64 76.09 47.98 78.11
OG0002842 48.20 94.08 52.15 94.39 48.38 94.52
OG0002844 41.69 45.45 42.99 47.08 42.89 45.81
OG0002846 51.03 90.77 55.83 92.92 56.38 92.18
OG0002847 51.21 44.80 51.22 45.53 51.21 45.60
OG0002849 46.71 81.58 48.41 84.11 46.15 77.58
OG0002851 52.71 79.15 52.72 78.99 52.92 81.32
OG0002853 46.93 58.96 47.18 57.94 47.17 58.96
OG0002855 45.84 70.32 46.58 71.08 45.77 70.32
OG0002856 50.48 92.41 50.64 93.12 51.92 94.19
OG0002857 44.87 57.07 45.12 57.07 44.95 55.56
OG0002859 52.64 86.49 51.52 87.50 51.51 86.48
OG0002861 51.28 80.05 51.48 81.26 46.70 74.08
OG0002862 54.33 76.82 47.61 88.72 49.26 92.02
OG0002863 57.29 89.62 57.69 90.56 57.59 94.94
OG0002864 53.50 95.76 53.25 96.10 53.48 95.58
OG0002865 48.62 75.21 47.87 82.95 47.58 82.72
OG0002869 45.45 60.30 45.92 63.08 45.36 61.22
OG0002870 41.64 50.91 44.20 55.13 44.37 55.28
OG0002876 60.22 95.62 59.71 92.94 61.19 96.27
OG0002877 49.60 81.85 49.44 83.98 49.80 83.06
OG0002880 56.04 62.08 56.03 62.66 56.03 61.81
OG0002884 52.40 88.84 52.58 92.36 52.35 89.26
OG0002885 47.45 70.44 48.22 66.23 47.65 65.10
OG0002887 55.32 75.32 49.88 70.33 50.47 69.84
OG0002888 40.76 47.06 40.97 49.16 40.97 48.32
OG0002889 49.33 52.09 49.33 52.35 49.23 51.68
OG0002890 42.22 54.03 42.22 54.37 43.79 54.61
