OG BAT_W-S BAT_S-W BRO_W-S BRO_S-W BGM_W-S BGM_S-W BGC_BAT BGC_BAT_pval BGC_BRO BGC_BRO_pval BGC_BGM BGC_BGM_pval ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
OG0002803 0.03920254 1.118858 3.216868 1.201079 1.279038 1.481525 NA 0.9906617 NA 0.2598742 NA 0.9906617 58.22644 51.38163 50.66338 0.1826828 0.1777724 0.1826828 0.2814924 0.3157194 0.2814924 0.3529412 0.2941176 0.3529412
OG0002804 7.905771 9.449656 3.822201 12.16543 3.991451 5.459623 NA 0.9996262 NA 0.9996262 NA 0.9996262 40.49347 39.93831 41.18761 0.3585082 0.3813245 0.3585082 0.439036 0.4780882 0.439036 0.8421053 0.8289474 0.8157895
OG0002805 2.396833 1.9795 6.560467 2.072188 47.15672 100.2634 NA 0.6431167 NA 0.05392873 NA 0.9999707 34.70327 31.9737 46.26812 0.2959479 0.5418153 0.2959479 0.6914688 0.5313192 0.6914688 1 0.9722222 0.8055556
OG0002806 1.678394 1.842813 15.20476 11.98893 5.103709 2.860928 NA 0.9998794 NA 0.4899781 NA 0.2363406 47.72177 53.70987 54.17325 0.1289393 0.1587662 0.1289393 0.3735509 0.3776774 0.3735509 0.7538462 0.7692308 0.7384615
OG0002808 7.621697 5.9959 9.391705 9.828318 13.95854 13.31191 NA 0.3357187 NA 0.8802251 NA 0.658754 41.74239 41.36316 42.97036 0.2750666 0.3447168 0.2750666 0.4492529 0.4516614 0.4492529 0.7532468 0.7532468 0.7532468
OG0002810 -1.135244e-13 -6.586264e-14 25.02225 25.25011 27.40149 12.59026 NA 0.9998213 NA 0.9998213 NA 0.01188726 55.64189 55.06924 53.5315 0.1240713 0.1073427 0.1240713 0.4528068 0.4467876 0.4528068 0.6818182 0.7272727 0.6818182
OG0002811 12.00053 8.414524 8.477058 12.74037 14.63421 14.68937 NA 0.1515086 NA 0.9996747 NA 0.9996746 28.1872 39.9751 32.40905 0.5584029 0.3511782 0.5584029 0.4614892 0.4637998 0.4614892 1 0.9411765 0.9411765
OG0002813 6.074684 7.226423 40.69877 19.71718 11.87612 9.555016 NA 0.9994482 NA 0.001949428 NA 0.4962549 46.11616 43.76276 45.44338 0.2018184 0.2195497 0.2018184 0.480496 0.498472 0.480496 0.7467249 0.7554585 0.7336245
OG0002815 3.334004 6.730878 15.83122 11.25749 5.701493 6.88052 NA 1 NA 0.1544646 NA 1 36.80385 43.62388 38.76487 0.347016 0.2850913 0.347016 0.4678812 0.4736961 0.4678812 0.875 0.9125 0.8875
OG0002817 5.206046 4.348441 3.471134 5.297128 4.629693 2.404151 NA 0.4418814 NA 0.9998922 NA 0.0693769 35.92017 32.30203 34.90678 0.6600566 0.6157794 0.6600566 0.4412935 0.4437872 0.4412935 0.925 0.975 0.925
OG0002818 4.694531 4.703683 18.74062 30.91342 16.79107 11.19114 NA 0.8985633 NA 0.9985346 NA 0.07719061 49.46994 51.7591 50.04895 0.1952359 0.1547215 0.1952359 0.4370304 0.4552206 0.4370304 0.6979167 0.7083333 0.7291667
OG0002819 1.635038 2.440517 2.823883 5.56978 1.331006 3.400369 NA 0.999921 NA 0.999921 NA 0.999921 30.56477 31.00128 37.78657 0.4158633 0.5650635 0.4158633 0.3800967 0.3984417 0.3800967 0.9333333 0.9 0.9166667
OG0002820 9.49571 20.49446 21.95602 18.60809 2.790104 7.358543 NA 0.9988623 NA 0.5284352 NA 0.9988625 52.24649 51.051 45.1412 0.2179433 0.09390358 0.2179433 0.5266063 0.478407 0.5266063 0.7621359 0.776699 0.7718447
