OG BAT_W-S BAT_S-W BAT_W-W BAT_S-S BRO_W-S BRO_S-W  BRO_W-W BRO_S-S BGM_W-S BGM_S-W BGM_W-W BGM_S-S BGC_BAT BGC_BAT_pval BGC_BRO BGC_BRO_pval BGC_BGM BGC_BGM_pval ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
OG0002803 0.03910915 1.118502 0.006949974 0.00023093 3.216794 1.200939 0.06003773 0.001174303 1.2795 1.482275 0.050338 0.001839597 NA 0.9863756 NA 0.2598494 NA 0.9863756 58.22644 51.38163 50.66338 0.1653364 0.1777724 0.1826828 0.2760687 0.3157194 0.2814924 0.3529412 0.2941176 0.3529412
OG0002804 7.905798 9.449656 2.933647 3.940797 3.822237 12.16545 5.778054 2.167027 3.991393 5.459571 5.406227 0.1561729 NA 0.9996109 NA 0.9996109 NA 0.9996111 40.49347 39.93831 41.18761 0.3731456 0.3813245 0.3585082 0.4748948 0.4780882 0.439036 0.8421053 0.8289474 0.8157895
OG0002805 2.39682 1.979492 1.864298 0.02449495 6.560494 2.072214 5.10314 0.04406077 47.15648 100.2629 30.86899 17.25706 NA 0.6431162 NA 0.05392688 NA 0.9998252 34.70327 31.9737 46.26812 0.4984672 0.5418153 0.2959479 0.486998 0.5313192 0.6914688 1 0.9722222 0.8055556
OG0002806 1.678363 1.842783 0.2776925 1.144206 15.2047 11.98888 4.410844 1.969383 5.103781 2.860999 1.743799 1.400896 NA 0.9999242 NA 0.4899781 NA 0.2363406 47.72177 53.70987 54.17325 0.2555392 0.1587662 0.1289393 0.4160487 0.3776774 0.3735509 0.7538462 0.7692308 0.7384615
OG0002808 7.621207 5.995565 1.236775 0.4002881 9.391638 9.828205 4.977682 1.362526 13.95856 13.31203 4.053905 0.6116266 NA 0.3357184 NA 0.8802217 NA 0.658753 41.74239 41.36316 42.97036 0.2953826 0.3447168 0.2750666 0.4506263 0.4516614 0.4492529 0.7532468 0.7532468 0.7532468
OG0002810 0.4024503 0.9221159 0.2727039 0.1988761 25.02194 25.24957 18.17764 6.667455 27.40126 12.58968 6.66847 3.689122 NA 0.9959142 NA 0.9959141 NA 0.01188312 55.64189 55.06924 53.5315 0.09714338 0.1073427 0.1240713 0.442218 0.4467876 0.4528068 0.6818182 0.7272727 0.6818182
OG0002811 12.00117 8.415121 11.05158 2.534996 8.477343 12.74068 6.050169 1.724761 14.63441 14.6898 15.91565 4.533866 NA 0.1515086 NA 0.9998631 NA 0.9998629 28.1872 39.9751 32.40905 0.6794514 0.3511782 0.5584029 0.578046 0.4637998 0.4614892 1 0.9411765 0.9411765
OG0002813 6.073233 7.225368 3.324996 0.7332007 40.69897 19.71721 17.86062 6.752029 11.87578 9.554615 4.452263 2.172152 NA 0.998316 NA 0.002017636 NA 0.4982058 46.11616 43.76276 45.44338 0.2008669 0.2195497 0.2018184 0.4792964 0.498472 0.480496 0.7467249 0.7554585 0.7336245
OG0002815 3.333797 6.730607 1.698133 0.744243 15.83119 11.25748 6.868522 1.541157 5.701459 6.880495 2.244294 1.307792 NA 0.9998483 NA 0.1544645 NA 0.9998286 36.80385 43.62388 38.76487 0.3862321 0.2850913 0.347016 0.4787253 0.4736961 0.4678812 0.875 0.9125 0.8875
OG0002817 5.206215 4.348494 3.72122 0.1677645 3.471129 5.297105 1.726006 1.220001 4.629686 2.404128 0.477911 0.1423973 NA 0.4418814 NA 0.9999105 NA 0.06985815 35.92017 32.30203 34.90678 0.512289 0.6157794 0.6600566 0.49052 0.4437872 0.4412935 0.925 0.975 0.925
OG0002818 4.694171 4.703393 1.028079 0.7495448 18.74095 30.9138 6.410434 4.667071 16.79175 11.19202 2.651271 4.366648 NA 0.8986494 NA 0.9993403 NA 0.07719073 49.46994 51.7591 50.04895 0.1826356 0.1547215 0.1952359 0.448269 0.4552206 0.4370304 0.6979167 0.7083333 0.7291667
OG0002819 1.635019 2.440476 2.900641 0.02753531 2.823931 5.569818 12.70685 0.08701023 1.331019 3.400381 0.4844091 0.02045708 NA 0.9999276 NA 0.9999276 NA 0.9999276 30.56477 31.00128 37.78657 0.554142 0.5650635 0.4158633 0.3511885 0.3984417 0.3800967 0.9333333 0.9 0.9166667
OG0002820 9.495934 20.49456 0.312668 1.643854 21.95747 18.60973 14.79629 0.3963914 2.791545 7.360029 2.11664 0.492632 NA 0.9987483 NA 0.5311654 NA 0.9986504 52.24649 51.051 45.1412 0.09277788 0.09390358 0.2179433 0.4773731 0.478407 0.5266063 0.7621359 0.776699 0.7718447
OG0002821 0.2968399 1.492776 0.1132607 0.003162186 18.37387 8.768396 4.015716 1.999843 4.029207 1.104817 2.006246 0.009286287 NA 0.9975504 NA 0.04126294 NA 0.1717506 59.97048 59.18422 61 0.06898209 0.1036185 0.07087591 0.4110473 0.4414033 0.4110853 0.5555556 0.5763889 0.5694444
OG0002822 0.1493333 1.128836 0.001528227 0.09863657 4.700933 4.915976 0.01138921 0.7585909 1.27719 2.114589 0.00869662 0.06671137 NA 0.9998179 NA 0.9998179 NA 0.9998179 61 61 61 0.07514399 0.08808361 0.08707564 0.2878759 0.2907064 0.2751203 0.4468085 0.4255319 0.4680851
OG0002823 1.801091 22.11033 8.619674 0.06705109 50.74727 28.45039 38.84158 1.010825 10.44278 25.7172 14.9064 0.2453962 NA 1 NA 0.004499168 NA 1 32.68202 30.98793 32.05229 0.4901144 0.5448112 0.5030109 0.5004369 0.5220799 0.5060622 0.9060403 0.9328859 0.9149888
OG0002824 0.3530292 2.697223 0.001568052 0.01217282 8.472299 3.998709 4.997978 1.996614 0.08504941 3.611459 0.001925507 0.003388651 NA 1 NA 0.1324794 NA 1 37.73441 38.00277 38.14382 0.4217078 0.4774406 0.4244389 0.4590239 0.5166984 0.4552751 0.8712871 0.9108911 0.8811881
OG0002825 0.02771231 5.990391 0.3957831 0.906637 42.15943 6.147484 3.098026 1.023351 1.002253 5.021266 0.0454072 0.005361058 NA 0.9994084 2.266356 2.473954e-09 NA 0.9992117 48.37269 43.69857 46.8764 0.1528554 0.2338123 0.1616064 0.4488193 0.4682998 0.4492856 0.7142857 0.7545788 0.7216117
OG0002826 3.095968 8.005932 0.1419938 0.996533 21.31766 17.52996 18.4792 7.029736 4.250466 5.206331 2.09878 0.08933551 NA 0.9952456 NA 0.4442103 NA 0.9952455 50.77092 45.67057 50.08488 0.162056 0.2643377 0.1667079 0.4277517 0.5036141 0.4387133 0.7319588 0.742268 0.7525773
OG0002827 4.317355 6.695595 7.548236 1.080397 45.14235 11.28844 24.73192 3.354357 1.733683 5.204359 3.860766 0.05515114 NA 0.9997973 1.581879 2.688684e-08 NA 0.9997972 40.79393 33.92143 38.68133 0.3425732 0.4868286 0.3647661 0.4513054 0.6043479 0.4664653 0.8227848 0.8860759 0.835443
OG0002829 3.403847 1.970101 5.24739 0.08258333 18.04175 28.40861 21.48656 3.700098 1.51004 2.631786 0.7313971 0.01518307 NA 0.3734591 NA 0.9996997 NA 0.9996997 28.37924 31.954 29.70784 0.6107661 0.5290799 0.589364 0.4210994 0.4344103 0.433301 0.8571429 0.7142857 0.8571429
OG0002830 1.608517 15.05396 4.093215 0.03326777 48.9698 20.36046 9.403519 5.295337 5.224489 6.765831 1.159807 0.008628362 NA 0.9799091 0.9481115 0.0001538318 NA 0.9799091 42.95153 38.78216 41.73162 0.2366191 0.2796588 0.2475463 0.4760586 0.4948959 0.4795053 0.832021 0.8661417 0.8425197
