transcript_BGM_M len_BGM_M n_var_BGM_M
TRINITY_DN0_c12_g1_i2 1465 4
TRINITY_DN0_c132_g1_i3 511 1
TRINITY_DN0_c15_g1_i2 835 5
TRINITY_DN0_c1_g1_i6 1531 23
TRINITY_DN0_c2_g2_i1 706 2
TRINITY_DN0_c5_g1_i10 2314 34
TRINITY_DN100075_c0_g1_i2 319 13
TRINITY_DN100086_c0_g1_i4 2470 2
TRINITY_DN1000_c2_g1_i8 1261 18
TRINITY_DN100115_c0_g1_i1 433 1
TRINITY_DN100115_c0_g2_i1 463 19
TRINITY_DN100177_c0_g1_i3 442 3
TRINITY_DN100194_c0_g1_i2 535 19
TRINITY_DN10019_c0_g1_i1 1282 67
TRINITY_DN1001_c0_g1_i1 1369 2
TRINITY_DN1001_c1_g3_i2 907 3
TRINITY_DN100203_c0_g1_i1 367 8
TRINITY_DN100203_c0_g4_i1 307 9
TRINITY_DN10022_c0_g2_i3 1936 45
TRINITY_DN10024_c2_g3_i3 508 3
TRINITY_DN10026_c0_g1_i1 385 17
TRINITY_DN10028_c0_g1_i2 916 19
TRINITY_DN10028_c1_g1_i3 325 1
TRINITY_DN100295_c0_g4_i1 319 1
TRINITY_DN1002_c1_g1_i1 991 1
TRINITY_DN100366_c0_g1_i3 367 1
TRINITY_DN100371_c0_g1_i2 1885 1
TRINITY_DN1003_c0_g1_i2 502 7
TRINITY_DN1003_c3_g1_i1 1510 2
TRINITY_DN100422_c0_g2_i2 2347 7
TRINITY_DN100448_c0_g1_i1 574 18
TRINITY_DN10045_c0_g2_i2 832 20
TRINITY_DN100502_c0_g1_i4 421 2
TRINITY_DN100536_c1_g1_i5 2968 1
TRINITY_DN10054_c0_g1_i1 553 1
TRINITY_DN100554_c0_g2_i1 439 1
TRINITY_DN100560_c1_g1_i3 310 12
TRINITY_DN10058_c2_g1_i1 637 2
TRINITY_DN100625_c0_g2_i1 352 4
TRINITY_DN10068_c0_g1_i28 2956 26
TRINITY_DN1006_c0_g3_i1 859 3
TRINITY_DN10071_c0_g1_i2 4702 90
TRINITY_DN100720_c0_g1_i3 307 7
TRINITY_DN10076_c0_g1_i1 673 1
TRINITY_DN10084_c0_g1_i9 643 2
TRINITY_DN100850_c0_g1_i14 2140 5
TRINITY_DN10090_c0_g2_i1 745 4
TRINITY_DN100959_c0_g1_i8 733 1
TRINITY_DN100_c0_g1_i4 3148 3
TRINITY_DN10103_c0_g1_i2 1291 19
TRINITY_DN1010_c0_g1_i3 1891 4
TRINITY_DN1010_c1_g1_i4 3907 2
TRINITY_DN1010_c2_g2_i4 3841 26
TRINITY_DN1010_c2_g4_i1 2623 4
TRINITY_DN1010_c3_g1_i7 1012 2
TRINITY_DN10110_c2_g1_i2 688 4
TRINITY_DN10119_c0_g1_i1 523 15
TRINITY_DN10119_c0_g2_i9 763 17
TRINITY_DN1011_c2_g1_i6 430 1
TRINITY_DN101202_c0_g1_i2 2278 4
TRINITY_DN10123_c0_g2_i4 2065 1
TRINITY_DN10125_c0_g1_i2 421 11
TRINITY_DN10126_c0_g1_i2 1057 4
TRINITY_DN10127_c0_g1_i14 556 12
TRINITY_DN1012_c0_g1_i1 1327 19
TRINITY_DN1012_c1_g3_i9 1882 60
TRINITY_DN10131_c1_g2_i7 397 7
TRINITY_DN101336_c0_g2_i1 520 13
TRINITY_DN10134_c0_g1_i5 619 22
TRINITY_DN1013_c0_g1_i5 1300 4
TRINITY_DN10142_c0_g1_i5 406 12
TRINITY_DN10143_c0_g1_i6 514 17
TRINITY_DN101476_c0_g1_i2 331 4
TRINITY_DN101506_c0_g1_i2 331 10
TRINITY_DN10150_c0_g1_i3 856 1
TRINITY_DN10154_c0_g1_i11 1738 6
TRINITY_DN101676_c0_g1_i1 457 1
TRINITY_DN101693_c0_g1_i4 418 2
TRINITY_DN10171_c0_g1_i4 709 2
TRINITY_DN1017_c0_g1_i7 1519 5
TRINITY_DN101814_c0_g1_i1 415 4
TRINITY_DN101824_c0_g1_i2 430 5
TRINITY_DN101824_c0_g2_i1 421 13
TRINITY_DN10183_c0_g1_i4 337 12
TRINITY_DN1018_c0_g1_i5 1531 6
TRINITY_DN1018_c2_g1_i1 472 3
TRINITY_DN101905_c0_g1_i6 385 4
TRINITY_DN10196_c1_g1_i4 328 4
TRINITY_DN1019_c0_g1_i1 2269 11
TRINITY_DN1019_c0_g2_i1 4711 13
TRINITY_DN1019_c0_g3_i1 3256 11
TRINITY_DN1019_c0_g4_i1 6259 5
TRINITY_DN1019_c2_g1_i1 493 2
TRINITY_DN1019_c3_g1_i10 1240 29
TRINITY_DN1019_c4_g1_i2 1399 3
TRINITY_DN101_c1_g2_i5 2317 4
TRINITY_DN101_c1_g3_i3 325 1
TRINITY_DN101_c1_g4_i1 1939 4
TRINITY_DN101_c4_g1_i3 757 19
TRINITY_DN101_c5_g1_i1 985 4
TRINITY_DN10201_c0_g1_i4 580 23
TRINITY_DN102042_c0_g1_i2 469 11
TRINITY_DN102055_c0_g1_i2 454 18
TRINITY_DN102073_c0_g1_i3 433 8
TRINITY_DN10208_c0_g1_i2 2221 1
TRINITY_DN1020_c0_g1_i8 340 2
TRINITY_DN102109_c0_g2_i1 472 18
TRINITY_DN10210_c0_g1_i9 844 2
TRINITY_DN10210_c0_g2_i1 1756 7
TRINITY_DN102110_c0_g1_i8 310 10
TRINITY_DN102111_c2_g5_i1 319 1
TRINITY_DN10212_c1_g1_i1 562 1
TRINITY_DN10215_c0_g1_i12 316 14
TRINITY_DN102190_c0_g1_i3 358 4
TRINITY_DN10219_c1_g1_i2 3793 2
TRINITY_DN1021_c0_g1_i1 1081 1
TRINITY_DN1021_c1_g1_i6 3466 2
TRINITY_DN1021_c3_g1_i5 2449 9
TRINITY_DN1021_c5_g1_i2 3835 1
TRINITY_DN1021_c5_g4_i2 2830 1
TRINITY_DN10226_c0_g1_i5 1087 2
TRINITY_DN1022_c0_g1_i2 451 1
TRINITY_DN102327_c0_g1_i5 406 1
TRINITY_DN10235_c0_g2_i3 412 1
TRINITY_DN102362_c0_g1_i2 421 6
TRINITY_DN1023_c0_g1_i11 5656 15
TRINITY_DN10243_c0_g2_i9 3898 9
TRINITY_DN10248_c0_g1_i7 952 56
TRINITY_DN10255_c0_g1_i2 736 1
TRINITY_DN10258_c0_g2_i1 922 3
TRINITY_DN102621_c0_g2_i1 406 15
TRINITY_DN10264_c0_g1_i4 1546 3
TRINITY_DN102651_c0_g3_i1 280 1
TRINITY_DN10269_c0_g1_i5 556 1
TRINITY_DN1026_c0_g1_i4 1105 2
TRINITY_DN10270_c1_g2_i1 1153 5
TRINITY_DN10270_c2_g3_i3 1444 2
TRINITY_DN102769_c0_g1_i1 400 2
TRINITY_DN10276_c0_g1_i2 682 1
TRINITY_DN102778_c0_g1_i5 460 3
TRINITY_DN10278_c0_g1_i4 961 2
TRINITY_DN1027_c0_g1_i7 325 1
TRINITY_DN1027_c2_g2_i5 1450 13
TRINITY_DN1027_c4_g1_i9 463 8
TRINITY_DN1027_c5_g1_i1 3400 10
TRINITY_DN1027_c6_g1_i3 1780 33
TRINITY_DN1027_c8_g1_i1 1486 6
TRINITY_DN10282_c0_g1_i17 17857 23
TRINITY_DN10282_c4_g1_i1 1537 4
TRINITY_DN102842_c0_g4_i3 424 1
TRINITY_DN10286_c0_g2_i1 892 4
TRINITY_DN102871_c0_g2_i3 328 6
TRINITY_DN1028_c0_g1_i7 2875 45
TRINITY_DN1028_c0_g2_i8 1666 84
TRINITY_DN102939_c0_g1_i1 346 1
TRINITY_DN10294_c0_g1_i15 814 37
TRINITY_DN102963_c0_g1_i1 406 11
TRINITY_DN10298_c0_g1_i3 1159 1
TRINITY_DN1029_c3_g1_i2 619 3
TRINITY_DN1029_c8_g1_i1 1684 1
TRINITY_DN102_c0_g2_i6 2077 1
TRINITY_DN102_c1_g1_i11 2026 4
TRINITY_DN102_c5_g1_i1 2233 1
TRINITY_DN103004_c0_g1_i2 2299 3
TRINITY_DN10300_c0_g1_i1 820 1
TRINITY_DN10304_c0_g3_i2 1165 1
TRINITY_DN10304_c1_g1_i2 1084 4
TRINITY_DN10304_c1_g2_i1 811 2
TRINITY_DN10305_c0_g2_i1 1831 2
TRINITY_DN103067_c0_g1_i4 556 5
TRINITY_DN10318_c0_g2_i5 2539 4
TRINITY_DN10319_c0_g2_i2 1363 6
TRINITY_DN1031_c0_g1_i7 7618 1
TRINITY_DN1031_c1_g1_i4 1915 1
TRINITY_DN1031_c2_g1_i2 2131 28
TRINITY_DN1031_c2_g2_i1 1894 14
TRINITY_DN1031_c3_g1_i4 1888 7
TRINITY_DN1031_c5_g1_i7 1564 18
TRINITY_DN10320_c0_g1_i1 406 1
TRINITY_DN103242_c0_g2_i1 307 13
TRINITY_DN10325_c0_g1_i1 325 2
TRINITY_DN1032_c0_g1_i8 1294 48
TRINITY_DN1032_c3_g2_i1 358 14
TRINITY_DN103302_c0_g1_i2 427 20
TRINITY_DN103337_c0_g1_i5 367 10
TRINITY_DN103356_c0_g1_i1 685 5
TRINITY_DN103367_c0_g1_i7 313 4
TRINITY_DN1033_c0_g1_i1 1435 2
TRINITY_DN1033_c0_g2_i2 1291 1
TRINITY_DN10340_c0_g1_i1 721 27
TRINITY_DN10340_c1_g1_i1 1732 1
TRINITY_DN103446_c0_g1_i1 349 12
TRINITY_DN10344_c0_g1_i1 337 2
TRINITY_DN10344_c0_g4_i1 364 7
TRINITY_DN10345_c0_g2_i7 310 11
TRINITY_DN103464_c3_g1_i2 355 14
TRINITY_DN103481_c0_g1_i2 313 12
TRINITY_DN103508_c1_g1_i4 385 1
TRINITY_DN10350_c0_g1_i1 676 2
TRINITY_DN10354_c0_g1_i1 1030 46
TRINITY_DN103559_c0_g1_i3 3880 10
TRINITY_DN10355_c1_g4_i2 619 2
TRINITY_DN10356_c0_g1_i18 931 13
TRINITY_DN10358_c0_g1_i2 1093 2
TRINITY_DN10359_c0_g1_i4 1786 4
TRINITY_DN1035_c0_g1_i11 1888 39
TRINITY_DN10361_c0_g1_i1 376 2
TRINITY_DN10361_c1_g1_i4 1093 3
TRINITY_DN103635_c0_g1_i5 349 11
TRINITY_DN1036_c0_g1_i3 1795 4
TRINITY_DN1036_c3_g4_i1 850 7
TRINITY_DN1036_c3_g7_i1 1972 5
TRINITY_DN1036_c5_g1_i2 1087 1
TRINITY_DN103703_c0_g1_i1 343 4
TRINITY_DN10375_c0_g1_i1 1816 5
TRINITY_DN10377_c0_g3_i6 424 1
TRINITY_DN103789_c0_g1_i3 430 18
TRINITY_DN1037_c0_g1_i7 847 14
TRINITY_DN10380_c0_g2_i1 2926 8
TRINITY_DN10381_c1_g1_i2 1675 1
TRINITY_DN103892_c0_g1_i3 313 2
TRINITY_DN103892_c1_g1_i1 445 11
TRINITY_DN1038_c0_g1_i3 940 1
TRINITY_DN103906_c0_g1_i6 451 4
TRINITY_DN10390_c0_g1_i2 2263 2
TRINITY_DN103912_c0_g1_i24 1075 3
TRINITY_DN10391_c0_g1_i1 442 1
TRINITY_DN103974_c0_g1_i3 361 3
TRINITY_DN103992_c0_g1_i1 382 3
TRINITY_DN1039_c0_g1_i2 388 4
TRINITY_DN1039_c0_g3_i1 346 2
TRINITY_DN103_c0_g2_i3 1720 1
TRINITY_DN104021_c0_g3_i1 307 2
TRINITY_DN104118_c0_g1_i2 307 3
TRINITY_DN10411_c0_g1_i1 550 2
TRINITY_DN104169_c0_g1_i1 325 5
TRINITY_DN1041_c2_g1_i22 2743 14
TRINITY_DN104210_c0_g1_i1 3454 1
TRINITY_DN104275_c0_g1_i2 376 30
TRINITY_DN104299_c2_g1_i2 307 15
TRINITY_DN1042_c0_g1_i4 898 1
TRINITY_DN1042_c1_g1_i2 565 5
TRINITY_DN1042_c4_g1_i1 1591 4
TRINITY_DN10436_c0_g1_i4 409 7
TRINITY_DN104381_c0_g1_i1 328 14
TRINITY_DN1043_c1_g1_i14 1693 8
TRINITY_DN104432_c0_g1_i1 433 1
TRINITY_DN10444_c0_g1_i4 379 2
TRINITY_DN104464_c0_g1_i3 385 16
TRINITY_DN1044_c0_g1_i10 3226 3
TRINITY_DN1044_c2_g1_i2 1834 10
TRINITY_DN1044_c3_g1_i4 598 19
TRINITY_DN104504_c0_g1_i4 418 13
TRINITY_DN104523_c0_g1_i1 1705 5
TRINITY_DN104554_c1_g2_i1 553 1
TRINITY_DN104573_c0_g2_i1 475 1
TRINITY_DN10459_c0_g1_i3 1264 1
TRINITY_DN10460_c0_g3_i3 328 3
TRINITY_DN10461_c2_g1_i1 829 1
TRINITY_DN104620_c0_g1_i1 343 3
TRINITY_DN10462_c0_g1_i12 358 7
TRINITY_DN10463_c0_g2_i4 451 2
TRINITY_DN104655_c0_g1_i4 304 13
TRINITY_DN104679_c0_g2_i1 409 2
TRINITY_DN1046_c0_g1_i4 592 6
TRINITY_DN10471_c0_g1_i2 655 31
TRINITY_DN104727_c0_g2_i2 1081 1
TRINITY_DN10474_c0_g1_i8 1012 53
TRINITY_DN104785_c0_g1_i1 667 19
TRINITY_DN104787_c0_g1_i2 1798 22
TRINITY_DN10479_c0_g1_i19 5908 2
TRINITY_DN10479_c0_g4_i1 1033 1
TRINITY_DN10481_c2_g2_i3 1576 3
TRINITY_DN104849_c0_g1_i4 307 7
TRINITY_DN104856_c1_g4_i1 382 1
TRINITY_DN10485_c0_g3_i3 850 2
TRINITY_DN104872_c0_g2_i1 478 1
TRINITY_DN104919_c1_g1_i2 463 2
TRINITY_DN104924_c0_g1_i2 514 4
TRINITY_DN10493_c0_g1_i11 670 23
TRINITY_DN104969_c0_g1_i7 370 16
TRINITY_DN104984_c0_g2_i8 4507 8
TRINITY_DN104984_c0_g3_i1 874 1
TRINITY_DN10498_c0_g1_i3 1015 55
TRINITY_DN104996_c0_g2_i6 1303 1
TRINITY_DN104996_c0_g3_i1 1294 1
TRINITY_DN1049_c0_g2_i1 2029 5
TRINITY_DN1049_c0_g3_i2 706 8
TRINITY_DN10501_c0_g1_i2 610 1
TRINITY_DN10504_c0_g1_i2 1366 2
TRINITY_DN105096_c0_g1_i1 1363 1
TRINITY_DN1051_c0_g2_i10 1441 5
TRINITY_DN10522_c2_g2_i3 1624 3
TRINITY_DN105286_c0_g1_i1 2416 1
TRINITY_DN105295_c0_g1_i5 505 23
TRINITY_DN105299_c0_g1_i7 310 9
TRINITY_DN1052_c0_g3_i4 487 1
TRINITY_DN1052_c5_g1_i8 709 2
TRINITY_DN105335_c0_g1_i5 511 24
TRINITY_DN10537_c0_g4_i1 706 2
TRINITY_DN10539_c2_g1_i1 1624 1
TRINITY_DN10539_c3_g1_i4 994 26
TRINITY_DN10541_c1_g1_i17 1042 18
TRINITY_DN105426_c1_g1_i2 388 1
TRINITY_DN105429_c0_g1_i2 1417 2
TRINITY_DN105446_c0_g4_i1 358 6
TRINITY_DN1054_c1_g1_i11 1390 3
TRINITY_DN10553_c0_g1_i7 427 12
