sp transcript logFC pval sp transcript logFC pval sp transcript logFC pval sp transcript logFC pval OG branch transcript dNdS t dN dS branch transcript dNdS t dN dS branch transcript dNdS t dN dS branch transcript OTUs dNdS t dN dS contig_BGM 1+2GC% 3rdGC% totGC% contig_BRO 1+2GC% 3rdGC% totGC% contig_BGM 1+2GC% 3rdGC% totGC% OG BAT_W-S BAT_S-W BRO_W-S BRO_S-W BGM_W-S BGM_S-W BGC_BAT BGC_BRO BGC_BGM ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
BGM_M TRINITY_DN86526_c0_g3 36.199674968105 2.84702402463557e-20 BAT TRINITY_DN10683_c0_g1 35.4573377050877 1.49055489623222e-11 BRO TRINITY_DN52612_c0_g1 158.156828250356 2.03698574780865e-22 BGM TRINITY_DN86526_c0_g3 3.95251212817614 2.36053631155127e-05 OG0002803 BAT OG0002803.ref.mafft.n 0.6776 0.003 0.0008 0.0011 BRO OG0002803.ref.mafft.n 0.6776 0.010 0.0030 0.0044 BGM OG0002803.ref.mafft.n 0.6776 0.006 0.0019 0.0028 BGM_BAT OG0002803.ref.mafft.n 2 0.6776 0.000 0.0000 0.0000 TRINITY_DN10683_c0_g1_i1.p1 43.88 48.20 45.32 TRINITY_DN52612_c0_g1_i1.p1 45.80 48.95 46.85 TRINITY_DN86526_c0_g3_i2.p1 42.86 41.96 42.56 OG0002803 0.03922786 1.118798 3.216635 1.200959 1.278861 1.481203 NA NA NA 58.22644 51.38163 50.66338 0.1826828 0.1777724 0.1826828 0.2814924 0.3157194 0.2814924 0.3529412 0.2941176 0.3529412
BGM_M TRINITY_DN1456_c1_g1 20.246917486647 6.97549125018162e-10 BAT TRINITY_DN10850_c0_g4 31.2073417231413 2.55777611060384e-17 BRO TRINITY_DN89370_c0_g2 48.6809638818807 1.10446686224485e-14 BGM TRINITY_DN1456_c1_g1 9.31620319083511 3.86469679867789e-09 OG0002804 BAT OG0002804.ref.mafft.n 0.2647 0.066 0.0135 0.0510 BRO OG0002804.ref.mafft.n 0.2647 0.037 0.0077 0.0290 BGM OG0002804.ref.mafft.n 0.2647 0.022 0.0044 0.0167 BGM_BAT OG0002804.ref.mafft.n 2 0.2647 0.000 0.0000 0.0000 TRINITY_DN10850_c0_g4_i4.p1 57.91 81.70 66.05 TRINITY_DN89370_c0_g2_i1.p1 56.30 84.25 65.62 TRINITY_DN1456_c1_g1_i1.p1 57.48 84.65 66.54 OG0002804 7.905779 9.449552 3.822141 12.16541 3.991356 5.45957 NA NA NA 40.49347 39.93831 41.18761 0.3585082 0.3813245 0.3585082 0.439036 0.4780882 0.439036 0.8421053 0.8289474 0.8157895
BGM_M TRINITY_DN2633_c2_g1 21.952197131259 0.0255294976951564 BAT TRINITY_DN1199_c9_g1 2288.00408186998 0.916785488130106 BRO TRINITY_DN4300_c1_g1 2133.23910030088 0.240964824777682 BGM TRINITY_DN2633_c2_g1 29.1823340063887 0.532117343908624 OG0002805 BAT OG0002805.ref.mafft.n 2.4169 0.000 0.0000 0.0000 BRO OG0002805.ref.mafft.n 0.0399 0.035 0.0020 0.0512 BGM OG0002805.ref.mafft.n 0.1895 1.764 0.3180 1.6782 BGM_BAT OG0002805.ref.mafft.n 2 0.0942 0.023 0.0026 0.0277 TRINITY_DN1199_c9_g1_i1.p1 53.17 91.71 66.02 TRINITY_DN4300_c1_g1_i5.p1 53.66 92.68 66.67 TRINITY_DN2633_c2_g1_i1.p2 45.69 59.83 50.72 OG0002805 2.396844 1.979503 6.560473 2.072187 47.15666 100.2632 NA NA NA 34.70327 31.9737 46.26812 0.2959479 0.5418153 0.2959479 0.6914688 0.5313192 0.6914688 1 0.9722222 0.8055556
BGM_M TRINITY_DN1243_c0_g1 74.5094549892189 4.56280459260805e-38 BAT TRINITY_DN1288_c0_g1 93.4429784825549 2.07918742535258e-18 BRO TRINITY_DN1153_c0_g1 320.701126176377 8.41285965946e-62 BGM TRINITY_DN1243_c0_g1 103.538300192926 3.15556775938213e-26 OG0002806 BAT OG0002806.ref.mafft.n 292.0795 0.011 0.0047 0.0000 BRO OG0002806.ref.mafft.n 556.0281 0.026 0.0115 0.0000 BGM OG0002806.ref.mafft.n 0.3563 0.021 0.0047 0.0133 BGM_BAT OG0002806.ref.mafft.n 2 0.0157 0.034 0.0007 0.0430 TRINITY_DN1288_c0_g1_i8.p1 48.54 70.76 55.95 TRINITY_DN1153_c0_g1_i1.p1 48.46 66.96 54.63 TRINITY_DN1243_c0_g1_i6.p1 48.06 63.18 53.10 OG0002806 1.678288 1.842729 15.2048 11.989 5.103675 2.860927 NA NA NA 47.72177 53.70987 54.17325 0.1289393 0.1587662 0.1289393 0.3735509 0.3776774 0.3735509 0.7538462 0.7692308 0.7384615
BGM_M TRINITY_DN12499_c0_g1 31.7752957011959 6.57916813149524e-05 BAT TRINITY_DN16939_c0_g1 19.6050115356579 0.56747148358707 BRO TRINITY_DN175146_c0_g1 4.66470916950464 0.65067287552887 BGM TRINITY_DN12499_c0_g1 12.1855593824259 0.567982930117245 OG0002808 BAT OG0002808.ref.mafft.n 0.1777 0.013 0.0021 0.0121 BRO OG0002808.ref.mafft.n 0.1777 0.013 0.0021 0.0121 BGM OG0002808.ref.mafft.n 0.1777 0.024 0.0040 0.0227 BGM_BAT OG0002808.ref.mafft.n 2 0.1777 0.005 0.0009 0.0052 TRINITY_DN16939_c0_g1_i3.p1 52.98 83.51 63.16 TRINITY_DN175146_c0_g1_i1.p1 47.00 81.74 58.72 TRINITY_DN12499_c0_g1_i5.p1 53.15 82.52 63.03 OG0002808 7.622768 5.996915 9.391898 9.828593 13.95751 13.31093 NA NA NA 41.74239 41.36316 42.97036 0.2750666 0.3447168 0.2750666 0.4492529 0.4516614 0.4492529 0.7532468 0.7532468 0.7532468
BGM_M TRINITY_DN78592_c0_g2 376.315247895982 0.00463957763611229 BAT TRINITY_DN172707_c0_g1 407.498888122929 4.30309387388985e-13 BRO TRINITY_DN7497_c0_g2 702.063419602634 0.00581743544586265 BGM TRINITY_DN78592_c0_g2 322.585945898792 1.11496513082399e-05 OG0002810 BAT OG0002810.ref.mafft.n 0.4339 0.017 0.0042 0.0097 BRO OG0002810.ref.mafft.n 0.4339 0.043 0.0108 0.0249 BGM OG0002810.ref.mafft.n 0.4339 0.029 0.0073 0.0169 BGM_BAT OG0002810.ref.mafft.n 2 0.4339 0.003 0.0006 0.0015 TRINITY_DN172707_c0_g1_i5.p1 41.35 64.93 49.21 TRINITY_DN7497_c0_g2_i7.p1 41.96 65.91 49.95 TRINITY_DN78592_c0_g2_i3.p1 42.86 66.23 50.65 OG0002810 -1.920981e-14 -1.382381e-13 25.0222 25.25016 27.40133 12.59019 NA NA NA 55.64189 55.06924 53.5315 0.1240713 0.1073427 0.1240713 0.4528068 0.4467876 0.4528068 0.6818182 0.7272727 0.6818182
BGM_M TRINITY_DN16631_c1_g1 2.24397005218321 0.712862119178235 BAT TRINITY_DN17288_c2_g1 4.15562439596659 4.84115968747928e-05 BRO TRINITY_DN40908_c0_g1 6.02254384165432 2.95327094429017e-05 BGM TRINITY_DN16631_c1_g1 1.53280055974472 0.992444590915455 OG0002811 BAT OG0002811.ref.mafft.n 0.1558 0.099 0.0177 0.1134 BRO OG0002811.ref.mafft.n 0.1558 0.000 0.0000 0.0000 BGM OG0002811.ref.mafft.n 0.1558 0.074 0.0132 0.0847 BGM_BAT OG0002811.ref.mafft.n 2 0.1558 0.023 0.0041 0.0264 TRINITY_DN17288_c2_g1_i1.p3 52.86 98.68 68.14 TRINITY_DN40908_c0_g1_i1.p1 59.66 79.32 66.21 TRINITY_DN16631_c1_g1_i7.p2 53.48 91.44 66.13 OG0002811 12.00062 8.414751 8.478108 12.74141 14.63525 14.69111 NA NA NA 28.1872 39.9751 32.40905 0.5584029 0.3511782 0.5584029 0.4614892 0.4637998 0.4614892 1 0.9411765 0.9411765
BGM_M TRINITY_DN6614_c0_g2 220.479607019276 0.129394252732313 BAT TRINITY_DN2254_c0_g1 177.52246818959 0.224854061028329 BRO TRINITY_DN3553_c0_g1 235.329642341398 0.000182335531138067 BGM TRINITY_DN6614_c0_g2 138.160961346247 0.0013369273030679 OG0002813 BAT OG0002813.ref.mafft.n 0.0792 0.009 0.0009 0.0118 BRO OG0002813.ref.mafft.n 0.0792 0.024 0.0025 0.0315 BGM OG0002813.ref.mafft.n 0.0792 0.014 0.0014 0.0182 BGM_BAT OG0002813.ref.mafft.n 2 0.0792 0.026 0.0027 0.0339 TRINITY_DN2254_c0_g1_i4.p1 49.53 75.90 58.32 TRINITY_DN3553_c0_g1_i11.p1 49.80 77.28 59.02 TRINITY_DN6614_c0_g2_i45.p1 49.73 76.03 58.56 OG0002813 6.071162 7.223433 40.6989 19.71669 11.87158 9.550859 NA NA NA 46.11616 43.76276 45.44338 0.2018184 0.2195497 0.2018184 0.480496 0.498472 0.480496 0.7467249 0.7554585 0.7336245
BGM_M TRINITY_DN18636_c0_g1 33.3732123536913 0.000211879071651781 BAT TRINITY_DN2299_c0_g1 65.2967801662154 1.4744980606975e-13 BRO TRINITY_DN396_c0_g1 84.0200349711154 1.1632203159652e-05 BGM TRINITY_DN18636_c0_g1 65.8306858408199 2.40599786474321e-22 OG0002815 BAT OG0002815.ref.mafft.n 0.2005 0.011 0.0020 0.0098 BRO OG0002815.ref.mafft.n 0.2005 0.032 0.0057 0.0284 BGM OG0002815.ref.mafft.n 0.2005 0.017 0.0030 0.0149 BGM_BAT OG0002815.ref.mafft.n 2 0.2005 0.000 0.0000 0.0000 TRINITY_DN2299_c0_g1_i6.p1 58.21 86.94 67.79 TRINITY_DN396_c0_g1_i1.p1 59.98 82.54 67.50 TRINITY_DN18636_c0_g1_i4.p2 61.01 86.54 69.52 OG0002815 3.333893 6.730613 15.83103 11.25729 5.70151 6.880566 NA NA NA 36.80385 43.62388 38.76487 0.347016 0.2850913 0.347016 0.4678812 0.4736961 0.4678812 0.875 0.9125 0.8875
BGM_M TRINITY_DN6574_c2_g1 15.4821681467983 0.0802244668868573 BAT TRINITY_DN2374_c0_g1 43.0467083475684 0.0159690020647183 BRO TRINITY_DN9193_c2_g2 17.6345568892171 0.800775102629109 BGM TRINITY_DN6574_c2_g1 13.5596602720957 0.553069959460415 OG0002817 BAT OG0002817.ref.mafft.n 0.0516 0.038 0.0034 0.0666 BRO OG0002817.ref.mafft.n 0.0516 0.031 0.0028 0.0548 BGM OG0002817.ref.mafft.n 0.0516 0.016 0.0015 0.0283 BGM_BAT OG0002817.ref.mafft.n 2 0.0516 0.000 0.0000 0.0000 TRINITY_DN2374_c0_g1_i1.p1 49.78 90.18 63.24 TRINITY_DN9193_c2_g2_i3.p2 48.32 94.17 64.04 TRINITY_DN6574_c2_g1_i1.p2 50.42 95.76 65.54 OG0002817 5.206143 4.348476 3.471214 5.297206 4.629667 2.404118 NA NA NA 35.92017 32.30203 34.90678 0.6600566 0.6157794 0.6600566 0.4412935 0.4437872 0.4412935 0.925 0.975 0.925
