OG BAT_1+2_gc BAT_3rd_gc BRO_1+2_gc BRO_3rd_gc BGM_1+2_gc BGM_3rd_gc
OG0003129 51.21 64.24 48.96 60.42 51.21 64.85
OG0003130 57.91 81.70 56.30 84.25 57.48 84.65
OG0003131 51.00 83.69 55.75 82.48 52.89 84.49
OG0003132 53.17 91.71 53.66 92.68 45.69 59.83
OG0003135 48.54 70.76 48.46 66.96 48.06 63.18
OG0003137 53.79 94.59 55.10 96.75 53.90 95.02
OG0003138 52.98 83.51 47.00 81.74 53.15 82.52
OG0003139 41.35 64.93 41.96 65.91 42.86 66.23
OG0003140 52.86 98.68 59.66 79.32 53.48 91.44
OG0003142 41.23 32.94 40.33 33.15 40.70 34.17
OG0003143 53.74 81.06 52.03 76.10 53.19 80.92
OG0003144 51.19 75.65 51.86 78.78 51.13 76.26
OG0003146 53.37 64.48 53.56 63.82 53.82 64.66
OG0003149 50.63 68.45 50.93 71.12 50.48 68.39
OG0003150 49.53 75.90 49.80 77.28 49.73 76.03
OG0003151 58.21 86.94 59.98 82.54 61.01 86.54
OG0003152 49.78 90.18 48.32 94.17 50.42 95.76
OG0003153 50.87 86.46 51.02 86.88 54.81 84.62
OG0003154 41.35 35.10 41.86 32.56 40.18 33.93
OG0003155 52.74 50.37 53.19 54.16 52.66 53.10
OG0003156 49.82 73.87 50.17 70.45 47.26 74.39
OG0003158 55.25 92.59 55.25 91.36 56.60 86.79
OG0003159 46.44 65.18 46.67 65.28 45.48 77.62
OG0003160 56.59 78.22 58.50 78.95 55.30 77.36
OG0003161 49.74 60.15 50.26 62.98 49.74 60.99
OG0003162 52.24 70.41 52.93 72.73 52.10 71.66
OG0003164 46.19 92.30 45.81 94.27 46.17 93.14
OG0003165 46.84 88.10 47.21 90.71 46.67 87.82
OG0003166 52.83 73.77 53.28 78.84 52.76 74.22
OG0003168 56.04 67.15 61.22 78.95 56.02 67.55
OG0003169 59.43 85.28 65.10 91.37 60.39 87.45
OG0003170 51.01 93.62 50.76 94.34 50.39 94.48
OG0003171 50.00 77.30 50.74 81.73 50.00 77.12
OG0003172 56.21 96.50 58.26 94.08 57.85 96.28
OG0003173 40.32 39.35 40.00 40.65 40.65 41.29
OG0003174 47.15 81.86 46.21 82.03 46.82 82.59
OG0003175 55.02 81.56 55.44 84.50 54.97 82.68
OG0003176 47.60 71.40 49.28 84.48 50.00 74.92
OG0003178 51.26 80.29 52.20 84.50 51.05 79.96
OG0003179 55.32 94.36 54.68 93.29 54.47 94.59
OG0003180 50.95 67.30 57.17 72.48 47.65 58.99
OG0003182 40.64 33.72 40.21 28.75 40.74 33.49
OG0003185 46.62 70.38 49.14 74.88 47.08 73.11
OG0003186 48.77 63.63 49.79 66.15 49.58 65.16
OG0003187 45.73 63.07 46.29 62.00 45.86 62.86
OG0003188 49.77 63.42 50.29 64.69 50.85 70.21
OG0003189 46.67 64.23 48.17 72.08 47.09 63.18
OG0003190 46.23 80.04 48.47 84.35 47.09 86.49
OG0003191 42.47 52.41 42.34 54.19 42.19 52.10
OG0003192 54.17 87.04 53.19 86.81 53.12 90.75
OG0003193 58.99 84.31 59.73 85.32 59.30 86.01
OG0003194 47.64 76.09 47.64 76.09 47.98 78.11
OG0003195 43.59 44.20 43.59 44.74 43.55 44.75
OG0003196 48.20 94.08 52.15 94.39 48.38 94.52
OG0003198 51.54 91.60 50.37 92.65 57.19 94.12
OG0003199 44.22 46.76 44.31 48.97 43.81 47.33
OG0003200 53.36 86.34 55.75 86.59 54.76 87.69
OG0003201 47.11 64.52 48.45 69.25 47.33 64.59
OG0003202 48.52 87.13 48.82 87.99 46.76 80.10
OG0003203 38.48 43.15 38.74 42.86 46.06 61.49
OG0003205 48.82 76.89 48.70 76.89 48.58 76.65
OG0003207 50.77 62.80 52.07 63.43 50.60 61.39
OG0003208 41.69 45.45 42.99 47.08 42.89 45.81
OG0003209 44.60 58.55 45.05 62.40 44.83 59.16
OG0003210 48.07 84.21 47.55 81.82 51.50 83.54
OG0003212 51.03 90.77 55.83 92.92 56.38 92.18
OG0003213 52.17 94.97 53.62 95.92 51.76 94.65
OG0003214 51.21 44.80 51.22 45.53 51.21 45.60
OG0003215 46.71 81.58 48.41 84.11 46.15 77.58
OG0003217 52.71 79.15 52.72 78.99 52.92 81.32
OG0003218 46.93 58.96 47.18 57.94 47.17 58.96
OG0003220 63.53 94.07 59.41 95.29 61.93 96.97
OG0003221 45.84 70.32 46.58 71.08 45.77 70.32
OG0003222 50.91 81.94 54.40 93.26 50.91 81.59
OG0003223 50.48 92.41 50.64 93.12 51.92 94.19
OG0003224 44.18 47.48 44.82 49.26 44.28 48.32
OG0003226 44.87 57.07 45.12 57.07 44.95 55.56
OG0003227 47.61 89.83 48.56 89.71 47.67 84.11
OG0003228 37.87 47.34 37.35 46.20 37.57 46.75
OG0003229 50.23 74.54 53.59 70.76 47.22 63.33
OG0003230 60.63 85.06 62.07 87.36 63.03 86.06
OG0003231 51.28 80.05 51.48 81.26 46.70 74.08
OG0003232 46.44 66.47 48.74 75.00 48.33 72.92
OG0003233 54.33 76.82 47.61 88.72 49.26 92.02
OG0003234 58.05 90.80 61.89 93.86 61.03 93.05
OG0003235 42.22 32.72 40.27 33.69 41.08 33.72
OG0003236 57.29 89.62 57.69 90.56 57.59 94.94
OG0003237 50.13 73.14 51.01 73.48 50.91 73.68
OG0003238 53.50 95.76 53.25 96.10 53.48 95.58
OG0003239 41.05 43.51 48.62 69.38 48.12 69.11
OG0003240 53.69 92.99 50.60 91.37 50.52 89.21
OG0003241 48.62 75.21 47.87 82.95 47.58 82.72
OG0003242 50.41 80.76 50.46 83.89 50.00 80.94
OG0003244 45.45 60.30 45.92 63.08 45.36 61.22
OG0003245 41.64 50.91 44.20 55.13 44.37 55.28
OG0003246 40.17 38.29 40.45 39.63 40.51 39.32
OG0003247 49.91 40.52 52.94 41.13 53.83 38.50
OG0003248 38.19 51.39 36.98 55.35 38.39 52.28
OG0003249 54.48 91.77 54.90 91.89 55.56 92.05
OG0003250 64.49 96.73 62.05 94.55 63.83 97.57
OG0003251 44.41 51.18 45.47 51.56 43.82 51.18
OG0003252 60.22 95.62 59.71 92.94 61.19 96.27
OG0003253 49.60 81.85 49.44 83.98 49.80 83.06
OG0003254 56.04 62.08 56.03 62.66 56.03 61.81
OG0003257 52.91 95.49 46.98 50.98 46.35 46.13
OG0003259 53.18 75.97 53.54 89.63 54.55 88.68
OG0003260 52.40 88.84 52.58 92.36 52.35 89.26
OG0003261 47.45 70.44 48.22 66.23 47.65 65.10
OG0003263 55.32 75.32 49.88 70.33 50.47 69.84
OG0003264 48.01 95.34 48.37 95.24 48.26 95.02
OG0003265 43.30 36.06 42.11 35.96 42.96 36.86
OG0003266 57.49 96.52 57.27 96.80 58.29 96.52
OG0003267 45.19 60.90 45.95 62.67 44.47 56.13
OG0003268 50.85 73.50 51.71 75.21 50.85 73.50
OG0003269 57.73 88.05 59.15 85.42 59.34 93.41
OG0003270 40.76 47.06 40.97 49.16 40.97 48.32
OG0003271 44.18 73.15 44.38 73.84 44.04 72.74
OG0003272 55.06 95.57 56.48 97.17 54.92 95.71
OG0003273 58.52 90.13 58.63 91.26 58.63 90.36
OG0003274 49.33 52.09 49.33 52.35 49.23 51.68
OG0003275 42.22 54.03 42.22 54.37 43.79 54.61
OG0003276 51.64 75.00 53.45 71.69 48.76 70.37
OG0003277 46.99 79.52 47.09 79.92 47.59 80.89
OG0003279 53.12 69.65 54.28 72.41 53.23 69.79
OG0003280 43.35 74.32 43.99 76.06 42.85 69.35
OG0003281 39.41 36.45 39.85 42.11 38.76 36.84
OG0003282 49.25 65.66 50.74 67.71 48.71 63.05
OG0003284 56.03 91.49 56.38 92.91 58.29 78.72
OG0003285 44.72 37.95 44.76 39.64 44.60 39.00
OG0003286 56.60 94.43 56.26 93.63 56.42 93.50
OG0003287 56.33 77.22 55.06 79.75 55.38 76.58
OG0003288 47.04 44.63 48.18 48.01 47.57 46.01
OG0003289 54.11 92.04 54.11 92.84 53.84 92.08
OG0003290 41.95 71.91 42.70 71.91 40.37 69.63
OG0003291 41.33 44.13 41.24 43.07 40.78 42.62
OG0003292 53.41 85.94 53.75 86.74 55.91 83.42
OG0003293 41.67 44.83 41.96 46.15 41.96 46.15
OG0003294 54.16 88.64 57.21 92.33 56.91 91.85
OG0003295 41.85 67.67 41.60 69.42 41.34 65.83
OG0003297 61.40 92.61 63.26 93.81 62.52 93.45
OG0003299 55.31 83.86 57.63 83.42 55.35 82.86
OG0003300 54.82 81.55 55.59 86.61 54.91 81.64
OG0003301 58.72 56.70 59.21 59.21 60.16 58.39
OG0003302 56.08 95.27 55.74 97.30 55.70 94.00
OG0003303 53.99 90.49 56.04 93.87 55.92 87.17
OG0003304 39.95 27.74 39.70 28.07 39.87 28.07
OG0003305 56.93 71.85 59.90 86.58 65.73 82.33
OG0003307 48.78 73.45 48.86 73.81 48.59 73.82
OG0003308 51.61 74.50 52.35 75.06 51.36 74.75
OG0003309 49.39 60.61 48.98 61.71 49.59 61.22
OG0003310 53.68 66.87 51.64 65.75 56.67 62.00
OG0003312 58.22 95.54 58.45 95.59 58.50 95.38
OG0003313 55.84 84.01 57.51 89.56 55.33 80.96
OG0003314 49.36 72.65 48.31 80.80 49.31 84.63
OG0003315 62.19 78.51 52.26 85.19 51.25 86.67
OG0003316 48.35 57.96 48.65 60.36 48.50 57.66
OG0003317 50.05 74.16 50.51 71.84 50.74 71.65
OG0003318 51.95 86.58 52.33 85.17 51.25 81.74
OG0003319 40.12 33.53 40.11 33.68 39.81 32.95
OG0003320 59.14 91.12 58.63 91.00 60.63 86.95
OG0003321 52.95 88.10 54.13 88.18 54.24 94.47
OG0003322 45.17 78.62 44.86 80.27 45.17 78.62
OG0003323 41.51 45.43 41.64 46.74 41.38 45.69
OG0003324 46.03 50.27 40.67 30.92 45.70 50.22
OG0003325 44.97 38.11 44.90 38.15 44.89 38.87
OG0003326 46.37 53.14 45.95 56.28 45.56 55.02
OG0003327 59.30 93.02 59.08 93.09 63.28 91.27
OG0003328 46.80 67.70 46.38 69.19 47.00 74.67
OG0003329 47.94 62.24 49.43 69.79 51.50 72.75
OG0003330 54.90 88.81 53.85 88.81 54.55 88.81
OG0003331 44.72 38.01 44.65 38.04 44.81 38.10
OG0003332 52.62 85.47 55.56 83.33 56.04 88.26
OG0003333 46.67 84.67 52.53 85.11 46.76 84.82
OG0003335 54.82 76.15 55.47 82.79 53.50 77.88
OG0003336 53.37 69.68 53.83 80.74 58.00 69.23
OG0003337 51.00 82.43 50.91 83.82 51.00 82.25
OG0003338 45.71 89.93 46.08 91.79 45.52 90.30
OG0003339 56.37 81.13 55.26 78.95 55.32 78.14
OG0003341 50.00 79.23 50.00 79.26 50.00 79.89
OG0003343 51.15 62.69 52.27 68.68 47.73 59.77
OG0003344 47.14 41.68 47.03 41.26 48.42 41.62
OG0003345 54.62 85.14 55.81 90.87 54.62 85.14
OG0003346 53.62 79.18 54.23 78.86 54.78 81.53
OG0003347 59.33 96.51 60.06 95.15 58.72 96.55
OG0003348 49.16 76.91 50.46 80.04 49.72 76.01
OG0003349 45.95 61.14 43.15 62.90 42.31 62.82
OG0003350 44.49 48.79 42.92 42.49 47.52 50.32
OG0003351 55.33 74.26 56.22 72.94 54.29 77.91
OG0003353 46.73 66.53 48.13 80.37 46.80 68.02
OG0003354 50.00 71.46 56.00 79.00 50.85 72.95
OG0003355 44.61 49.70 46.20 52.93 45.66 52.16
OG0003357 49.83 80.77 49.83 86.01 52.29 81.70
OG0003358 52.93 86.64 58.97 89.86 57.15 89.95
OG0003359 47.44 76.28 47.13 73.42 47.44 75.00
OG0003360 50.30 81.31 49.63 80.10 49.38 77.78
OG0003361 52.46 61.45 49.30 58.67 50.29 64.11
OG0003362 47.60 72.16 49.15 78.23 49.15 77.89
OG0003363 52.55 82.88 49.66 83.37 48.07 80.98
OG0003364 54.57 85.13 54.59 87.45 53.49 84.22
OG0003365 52.05 91.36 52.93 94.83 52.91 93.41
OG0003367 43.75 61.03 44.63 61.07 44.97 60.40
OG0003368 45.68 72.57 46.30 72.17 46.24 72.98
OG0003369 46.95 74.92 46.92 76.51 46.77 74.82
OG0003370 53.49 72.93 54.60 78.49 52.03 79.67
OG0003371 49.19 86.59 48.45 93.52 44.72 86.84
OG0003372 50.31 77.57 51.89 83.60 50.42 78.28
OG0003373 46.58 67.47 47.74 74.19 47.24 69.85
OG0003374 52.81 87.73 51.49 87.79 58.21 89.84
OG0003375 50.76 58.07 51.60 60.71 51.20 57.99
OG0003377 48.42 67.95 49.32 75.96 48.64 69.84
OG0003378 55.27 88.63 55.56 89.33 55.03 88.86
OG0003380 42.92 59.51 43.21 60.19 43.21 60.19
OG0003381 49.40 77.40 48.83 76.64 43.56 63.72
OG0003382 46.62 89.87 46.62 89.45 47.67 89.83
OG0003383 51.65 81.82 53.51 85.96 51.64 80.49
OG0003384 45.81 62.29 46.07 62.96 45.71 62.29
OG0003385 43.97 56.32 40.95 65.81 45.59 52.21
OG0003388 55.86 92.26 55.11 91.32 55.43 93.26
OG0003389 42.11 52.97 42.21 53.43 41.76 56.52
OG0003390 42.74 43.01 42.74 42.74 42.74 43.01
OG0003392 53.90 70.35 50.49 61.85 45.47 57.14
OG0003393 51.41 86.88 51.25 87.50 51.86 90.54
OG0003394 52.75 69.96 50.13 64.27 50.66 64.94
OG0003397 51.04 69.84 50.96 68.81 51.00 69.59
OG0003398 57.41 89.16 58.96 90.27 63.68 95.81
OG0003399 54.07 71.85 55.80 76.23 53.96 66.42
OG0003400 52.00 64.89 54.89 69.72 54.50 67.20
OG0003401 45.40 90.79 42.97 85.67 44.32 89.31
OG0003402 46.26 62.30 46.52 65.24 45.86 62.30
OG0003403 44.88 80.09 45.02 81.67 44.95 79.42
OG0003404 53.48 83.68 55.74 88.03 55.03 87.77
OG0003405 59.87 85.81 59.54 91.56 59.48 89.13
OG0003406 60.01 87.28 60.16 90.13 62.81 83.52
OG0003407 47.53 40.34 46.99 39.94 46.79 37.46
OG0003408 48.82 71.23 51.08 84.12 51.18 83.14
OG0003410 54.39 66.96 50.59 66.86 46.04 61.51
OG0003411 41.74 38.23 41.59 37.92 41.73 41.04
OG0003412 58.24 91.76 59.74 91.01 58.03 90.89
OG0003414 48.67 83.16 48.80 86.52 48.87 82.10
OG0003415 42.94 63.18 43.35 64.24 39.42 66.95
OG0003418 59.15 96.75 57.97 98.01 59.94 96.85
OG0003419 37.30 36.76 39.26 31.40 39.72 30.84
OG0003421 55.06 76.52 56.65 79.09 58.12 84.03
OG0003422 48.71 63.31 48.38 67.19 48.52 69.16
OG0003424 48.70 64.84 49.73 66.33 46.81 64.87
OG0003426 47.34 67.15 47.71 72.36 46.98 67.39
OG0003427 45.82 67.85 46.10 72.00 45.74 68.49
OG0003428 53.28 72.73 53.07 72.73 54.45 72.67
OG0003429 51.05 97.21 54.90 97.03 53.34 97.45
OG0003430 64.44 98.61 63.24 97.90 63.84 97.81
OG0003431 53.23 77.89 53.70 76.56 53.16 78.63
OG0003432 52.19 84.86 53.06 86.14 52.28 83.65
OG0003433 51.25 83.32 53.49 84.46 51.77 83.72
OG0003434 50.14 79.71 50.00 79.94 50.00 79.26
OG0003435 49.30 54.42 48.86 52.84 45.81 78.21
OG0003436 59.86 80.99 58.45 79.58 57.39 78.87
OG0003437 55.24 88.24 56.24 90.13 55.88 88.81
OG0003438 62.35 65.81 48.10 77.31 47.60 74.44
OG0003439 57.11 88.73 57.24 92.99 56.64 90.52
OG0003440 47.42 69.96 47.71 71.10 48.28 70.39
OG0003443 44.88 53.08 45.55 54.88 49.70 62.16
OG0003444 39.63 72.87 39.64 74.12 39.94 74.71
OG0003447 48.09 49.28 53.15 71.62 52.47 68.76
OG0003448 48.39 81.56 46.35 81.43 48.60 83.80
OG0003450 49.10 72.42 52.11 61.83 47.75 57.24
OG0003451 41.22 56.10 41.46 56.59 41.22 57.07
OG0003452 56.84 90.11 57.68 91.73 57.03 91.63
OG0003454 55.48 68.57 57.31 73.42 54.34 67.12
OG0003455 55.47 74.02 55.18 74.62 55.50 75.93
OG0003457 49.01 59.84 49.20 61.23 49.11 59.44
OG0003458 50.33 86.00 47.29 78.29 50.50 86.67
OG0003459 47.21 86.24 46.42 84.09 47.55 87.33
OG0003460 52.76 77.91 53.34 77.91 54.89 77.60
OG0003461 48.83 78.50 50.23 76.72 49.47 75.57
OG0003463 48.42 77.29 45.75 73.16 48.75 77.32
OG0003464 55.49 85.48 55.34 84.19 54.35 85.52
OG0003465 48.20 63.73 48.20 62.09 49.18 68.62
OG0003466 59.15 86.85 57.61 93.26 60.38 90.57
OG0003467 56.50 78.49 56.08 78.00 56.03 76.95
OG0003469 53.54 89.17 54.24 94.09 53.73 90.50
OG0003470 56.75 96.32 56.90 95.40 59.25 94.91
OG0003472 44.63 62.93 44.15 60.98 44.39 60.98
OG0003473 41.55 34.08 41.13 31.83 40.85 33.52
OG0003474 48.30 67.12 42.76 56.68 48.35 66.45
OG0003475 37.23 29.74 38.26 30.43 37.23 29.74
OG0003476 59.06 84.79 59.59 86.79 59.06 84.19
OG0003477 45.67 71.05 46.23 74.14 49.80 88.28
OG0003478 49.61 79.81 51.28 78.03 50.87 80.09
OG0003479 52.03 79.42 49.23 68.32 48.64 77.13
OG0003480 40.67 31.09 39.11 36.44 40.45 29.09
OG0003482 45.72 58.24 45.59 58.51 43.18 49.91
OG0003483 49.02 62.99 49.41 63.39 49.21 62.99
OG0003485 49.05 78.35 50.82 83.95 49.11 78.73
OG0003486 52.99 62.37 51.90 62.37 53.07 63.74
OG0003487 42.13 40.99 41.81 42.40 42.11 39.77
OG0003490 42.90 73.01 42.32 75.52 42.21 81.80
OG0003491 52.41 81.18 60.12 92.98 58.33 87.88
OG0003494 52.15 72.08 51.98 75.35 52.03 71.84
OG0003495 42.47 31.65 42.87 33.64 42.49 31.54
OG0003496 48.99 89.66 56.82 92.98 49.50 92.43
OG0003497 56.45 96.88 57.03 96.48 55.30 85.78
OG0003498 60.11 92.53 56.63 95.08 58.65 95.86
OG0003499 64.06 78.96 55.77 86.89 56.74 88.45
OG0003500 53.80 71.42 53.85 73.68 53.78 71.98
OG0003501 51.47 77.45 51.10 81.22 51.47 79.66
OG0003502 50.79 95.82 50.57 95.63 52.72 94.98
OG0003503 37.90 48.58 38.21 48.93 37.86 49.29
OG0003504 51.31 73.56 51.66 75.73 51.34 74.33
OG0003505 55.97 77.04 56.45 78.93 56.08 79.70
OG0003506 43.36 63.64 43.72 64.07 43.36 64.21
OG0003507 40.85 48.63 43.85 59.99 42.83 57.59
OG0003508 50.40 84.58 50.40 86.17 50.99 85.38
OG0003509 52.22 92.55 52.33 92.01 54.02 89.06
OG0003510 46.55 71.09 49.08 79.36 46.82 71.35
