OG ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS
OG0003129 54.01338 49.32287 56.70732 0.1474914 0.1146646 0.1474914 0.2687975 0.3217853 0.2687975 0.6133333 0.56 0.6133333
OG0003130 40.49347 39.93831 41.18761 0.3585082 0.3813245 0.3585082 0.3787305 0.3797207 0.3787305 0.8671875 0.8671875 0.859375
OG0003131 40.36448 42.11273 39.51016 0.3048056 0.2715583 0.3048056 0.4533302 0.4540987 0.4533302 0.7752294 0.7752294 0.7752294
OG0003132 34.70327 31.9737 46.26812 0.2959479 0.5418153 0.2959479 0.6907599 0.450166 0.6907599 1 0.9705882 0.8823529
OG0003133 56.72462 50.78691 52.77396 0.1400539 0.1411841 0.1400539 0.4034971 0.4036382 0.4034971 0.2688172 0.2580645 0.2688172
OG0003135 47.72177 53.70987 54.17325 0.1289393 0.1587662 0.1289393 0.3662625 0.3562974 0.3662625 0.7297297 0.7432432 0.7162162
OG0003136 41.91417 33.61969 36.0446 0.4968921 0.4676767 0.4968921 0.355383 0.4251321 0.355383 0.84 0.86 0.86
OG0003137 32.23908 30.2611 31.41603 0.5263371 0.5981049 0.5263371 0.4286028 0.4597838 0.4286028 0.9414414 0.9594595 0.954955
OG0003138 41.74239 41.36316 42.97036 0.2750666 0.3447168 0.2750666 0.4384678 0.4343524 0.4384678 0.7865169 0.7865169 0.7752809
OG0003139 55.64189 55.06924 53.5315 0.1240713 0.1073427 0.1240713 0.4483312 0.4442216 0.4483312 0.6342593 0.6435185 0.6574074
OG0003140 28.1872 39.9751 32.40905 0.5584029 0.3511782 0.5584029 0.4111558 0.4570119 0.4111558 0.9859155 0.9859155 0.9859155
OG0003141 42.11716 55.08781 51.40524 0.2684784 0.1861689 0.2684784 0.3775193 0.3788459 0.3775193 0.1764706 0.2941176 0.1764706
OG0003142 49.5083 48.95915 49.99038 0.1182796 0.1330777 0.1182796 0.4310885 0.4360764 0.4310885 0.1847826 0.1684783 0.201087
OG0003143 44.79213 50.5154 44.94368 0.2474424 0.198934 0.2474424 0.4319565 0.4394884 0.4319565 0.8314607 0.7977528 0.8426966
OG0003144 46.2772 45.84227 46.79778 0.2202799 0.2442176 0.2202799 0.4502925 0.4529422 0.4502925 0.7318436 0.7541899 0.7178771
OG0003146 51.34897 54.98451 52.58511 0.0869608 0.07209509 0.0869608 0.4236584 0.4330926 0.4236584 0.6289593 0.6425339 0.6289593
OG0003149 51.84964 49.40804 51.73633 0.09564888 0.1212029 0.09564888 0.471717 0.4756925 0.471717 0.6516854 0.6998395 0.6629213
OG0003150 46.11616 43.76276 45.44338 0.2018184 0.2195497 0.2018184 0.4506023 0.4575301 0.4506023 0.7507886 0.7760252 0.7413249
OG0003151 36.80385 43.62388 38.76487 0.347016 0.2850913 0.347016 0.4148637 0.4420745 0.4148637 0.8513514 0.8851351 0.8716216
OG0003152 35.92017 32.30203 34.90678 0.6600566 0.6157794 0.6600566 0.2585268 0.26749 0.2585268 0.9375 0.9791667 0.9375
OG0003153 37.23557 37.49733 39.84716 0.3350499 0.4033754 0.3350499 0.4254473 0.4058356 0.4254473 0.8431373 0.8333333 0.8627451
OG0003154 53.92757 54.36378 51.36688 0.2196735 0.1907863 0.2196735 0.2766086 0.3605468 0.2766086 0.1944444 0.2222222 0.1944444
OG0003155 59.91991 59.74092 59.8149 0.01674142 0.0177923 0.01674142 0.4788429 0.480888 0.4788429 0.4940299 0.5268657 0.5253731
OG0003156 49.46994 51.7591 50.04895 0.1952359 0.1547215 0.1952359 0.4213316 0.4462872 0.4213316 0.6861314 0.6934307 0.7080292
OG0003158 30.56477 31.00128 37.78657 0.4158633 0.5650635 0.4158633 0.3667681 0.3551609 0.3667681 0.9367089 0.9113924 0.9367089
OG0003159 52.24649 51.051 45.1412 0.2179433 0.09390358 0.2179433 0.5001764 0.4761521 0.5001764 0.7588652 0.7801418 0.7695035
OG0003160 46.09206 43.07484 48.29988 0.2262721 0.2721164 0.2262721 0.4026333 0.422513 0.4026333 0.7238095 0.8190476 0.7238095
OG0003161 59.97048 59.18422 61 0.07087591 0.1036185 0.07087591 0.3958272 0.4075846 0.3958272 0.5511364 0.5738636 0.5625
OG0003162 50.88522 51.66389 49.79717 0.1176583 0.1198433 0.1176583 0.4293202 0.4370244 0.4293202 0.72 0.7466667 0.7333333
OG0003164 32.68202 30.98793 32.05229 0.5030109 0.5448112 0.5030109 0.4860335 0.4896713 0.4860335 0.9042654 0.9317536 0.9165877
OG0003165 37.73441 38.00277 38.14382 0.4244389 0.4774406 0.4244389 0.3608802 0.3816317 0.3608802 0.8859649 0.9122807 0.8947368
OG0003166 48.37269 43.69857 46.8764 0.1616064 0.2338123 0.1616064 0.4430309 0.457973 0.4430309 0.7240356 0.7774481 0.7299703
OG0003167 58.68938 59.11357 56.46191 0.2571378 0.07575284 0.2571378 0.4124982 0.4134856 0.4124982 0.4137931 0.4482759 0.4827586
OG0003168 50.77092 45.67057 50.08488 0.1667079 0.2643377 0.1667079 0.4164272 0.4747076 0.4164272 0.7607362 0.7730061 0.7730061
OG0003169 40.79393 33.92143 38.68133 0.3647661 0.4868286 0.3647661 0.374109 0.433579 0.374109 0.8376068 0.8888889 0.8461538
OG0003170 31.62872 31.07629 31.44086 0.54259 0.5303815 0.54259 0.4458928 0.4496393 0.4458928 0.9267516 0.9394904 0.9426752
OG0003171 47.32161 43.24249 47.69502 0.1671429 0.2045231 0.1671429 0.458951 0.4685328 0.458951 0.7930233 0.844186 0.7906977
OG0003172 28.37924 31.954 29.70784 0.589364 0.5290799 0.589364 0.4132131 0.4174821 0.4132131 0.9669421 0.9504132 0.9752066
OG0003173 51.18231 54.28255 53.13041 0.1508084 0.1573389 0.1508084 0.2536306 0.2616772 0.2536306 0.3148148 0.3518519 0.3703704
OG0003174 41.09995 41.71759 40.35766 0.3036933 0.2988538 0.3036933 0.4223825 0.4260152 0.4223825 0.7860465 0.7767442 0.7906977
OG0003175 42.95153 38.78216 41.73162 0.2475463 0.2796588 0.2475463 0.4679853 0.4742628 0.4679853 0.7891374 0.8258786 0.8115016
OG0003176 47.47608 40.18348 45.46852 0.1726246 0.3239299 0.1726246 0.4415707 0.4846894 0.4415707 0.8230769 0.8692308 0.8692308
OG0003178 43.06138 39.84657 42.95883 0.2385255 0.3089682 0.2385255 0.4297606 0.4452545 0.4297606 0.8125 0.859375 0.8229167
OG0003179 30.51084 31.89074 30.65837 0.5237177 0.4724971 0.5237177 0.4523253 0.4284048 0.4523253 0.926087 0.926087 0.9304348
OG0003180 54.36536 49.2895 56.00677 0.1022397 0.212094 0.1022397 0.4410189 0.487247 0.4410189 0.7857143 0.5 0.7857143
OG0003181 31.131 36.03205 36.5425 0.4596735 0.4668865 0.4596735 0.3800747 0.323167 0.3800747 0.88 0.88 0.88
OG0003182 49.44833 49.08793 49.69619 0.1575416 0.2654005 0.1575416 0.4561225 0.4504883 0.4561225 0.2386364 0.2272727 0.2159091
OG0003183 40.71553 48.53639 52.72124 0.175885 0.4662004 0.175885 0.3826995 0.5161045 0.3826995 0.8888889 0.8333333 0.7777778
OG0003185 50.03021 48.19795 49.10786 0.1444505 0.1514239 0.1444505 0.45442 0.4608891 0.45442 0.7364017 0.7573222 0.7238494
OG0003186 54.88327 54.16163 53.88602 0.09273275 0.09872378 0.09273275 0.45062 0.4575301 0.45062 0.6626506 0.6807229 0.6777108
OG0003187 49.62694 51.37887 51.39144 0.1435138 0.1373869 0.1435138 0.3865943 0.3912633 0.3865943 0.5797101 0.5652174 0.5724638
OG0003188 54.88793 54.015 50.39143 0.1604019 0.0819277 0.1604019 0.4601429 0.4592075 0.4601429 0.7181818 0.7545455 0.7181818
OG0003189 54.24704 49.45465 54.60956 0.08917174 0.1400415 0.08917174 0.4422304 0.4695593 0.4422304 0.6350711 0.6919431 0.6303318
OG0003190 45.41748 40.60928 41.64935 0.3823128 0.3558207 0.3823128 0.4006652 0.4213559 0.4006652 0.81 0.86 0.86
OG0003191 60.16707 58.69199 59.62711 0.104128 0.1014186 0.104128 0.379304 0.3865687 0.379304 0.4566929 0.488189 0.4488189
OG0003192 38.25379 35.60413 33.28708 0.4884304 0.3737252 0.4884304 0.4471568 0.4385439 0.4471568 0.9166667 0.9583333 0.9166667
OG0003193 38.46638 37.98713 36.75532 0.3951944 0.3741751 0.3951944 0.3744233 0.3812471 0.3744233 0.8424242 0.8484848 0.8606061
OG0003194 47.79689 43.65505 43.0156 0.2735933 0.2536302 0.2735933 0.3854851 0.3788016 0.3854851 0.7431193 0.7706422 0.7981651
OG0003195 56.10801 56.4692 56.38834 0.03299748 0.03483137 0.03299748 0.4834764 0.4848443 0.4834764 0.4310345 0.4402299 0.4333333
OG0003196 31.80462 30.95163 31.16553 0.5231812 0.5210722 0.5231812 0.4690883 0.4652846 0.4690883 0.9360902 0.9398496 0.9473684
OG0003197 58.32726 51.55409 61 0.1851259 0.2260096 0.1851259 0.3633893 0.4832991 0.3633893 0.4210526 0.3684211 0.4210526
OG0003198 29.23643 28.98714 28.09687 0.6385279 0.6549557 0.6385279 0.2537297 0.231649 0.2537297 0.968254 0.984127 0.968254
OG0003199 56.50496 56.68776 56.11643 0.03711828 0.03605946 0.03711828 0.4713143 0.4745011 0.4713143 0.4082073 0.4578834 0.4211663
OG0003200 38.31491 38.69398 36.83208 0.3487188 0.3010674 0.3487188 0.4600557 0.4676544 0.4600557 0.8895184 0.898017 0.8923513
OG0003201 56.36509 53.30641 56.15672 0.09722208 0.1251764 0.09722208 0.4162445 0.4257383 0.4162445 0.6701031 0.7061856 0.6701031
OG0003202 36.43979 35.06539 43.15998 0.242455 0.3976285 0.242455 0.4897892 0.4723544 0.4897892 0.8614719 0.8787879 0.8571429
OG0003203 61 61 55.26187 0.06311832 0.05718027 0.06311832 0.4936966 0.4413052 0.4936966 0.4358974 0.4444444 0.4700855
OG0003205 45.28295 44.58364 45.91597 0.2159609 0.2137964 0.2159609 0.4079869 0.4079022 0.4079869 0.7355769 0.7259615 0.7259615
OG0003206 36.89296 36.3752 36.14623 0.4336511 0.5126472 0.4336511 0.3274049 0.293978 0.3274049 0.7843137 0.8039216 0.8039216
OG0003207 56.32748 54.9167 55.95348 0.07966118 0.09045135 0.07966118 0.4345665 0.4490041 0.4345665 0.5972222 0.6076389 0.5833333
OG0003208 56.86295 55.36537 58.05155 0.04411173 0.06163624 0.04411173 0.4684227 0.4577474 0.4684227 0.4387097 0.4774194 0.4516129
OG0003209 59.69929 56.43523 58.22933 0.04708645 0.05794998 0.04708645 0.4496218 0.4538802 0.4496218 0.5787781 0.6302251 0.585209
OG0003210 39.70054 42.9924 39.41904 0.3231179 0.4131537 0.3231179 0.4159514 0.3285867 0.4159514 0.8142857 0.8571429 0.8
OG0003212 32.15212 32.29525 32.7173 0.5287964 0.5472971 0.5287964 0.3386758 0.3411962 0.3386758 0.8902439 0.8902439 0.8902439
OG0003213 30.05951 29.85183 30.77228 0.547457 0.588042 0.547457 0.4505333 0.4610822 0.4505333 0.9555556 0.9703704 0.9407407
OG0003214 56.08042 54.67725 54.9978 0.2280068 0.2368547 0.2280068 0.1776529 0.1864148 0.1776529 0.4310345 0.4310345 0.4482759
OG0003215 42.97474 37.57032 40.89956 0.2841513 0.3355213 0.2841513 0.4350088 0.4287463 0.4350088 0.8596491 0.9298246 0.8070175
OG0003216 59.73904 54.44941 54.82537 0.1949966 0.202768 0.1949966 0.4156865 0.438464 0.4156865 0.5 0.4166667 0.5416667
OG0003217 41.43046 43.4581 39.47863 0.3768228 0.3158391 0.3768228 0.3625692 0.3729385 0.3625692 0.7808219 0.7671233 0.8013699
OG0003218 55.0527 54.03495 53.65923 0.1695193 0.1667504 0.1695193 0.3167798 0.3328608 0.3167798 0.5326087 0.5434783 0.5434783
OG0003219 42.51841 33.92767 39.13738 0.418857 0.4796677 0.418857 0.3229492 0.3004603 0.3229492 0.8405797 0.8550725 0.8695652
