OG BAT_3_utr_gc BAT_5_utr_gc BRO_3_utr_gc BRO_5_utr_gc BGM_3_utr_gc BGM_5_utr_gc
OG0002803 29.97 66.67 27.58 NA 31.03 29.33
OG0002804 34.14 50.53 33.06 46.67 34.65 47.28
OG0002805 37.56 38.46 32.56 41.43 41.25 26.44
OG0002806 28.91 36.76 40.72 33.23 39.80 32.23
OG0002808 35.98 35.98 34.26 60.71 35.98 39.62
OG0002810 22.22 28.14 20.79 36.62 21.70 31.28
OG0002811 NA 78.00 29.83 NA 36.95 60.31
OG0002813 30.41 30.22 30.41 32.47 31.61 32.76
OG0002815 28.81 86.08 28.36 NA 29.11 59.48
OG0002817 34.68 33.44 40.34 47.50 35.68 43.80
OG0002818 32.80 56.71 32.93 NA 32.76 48.33
OG0002819 44.48 63.35 44.50 50.73 37.11 NA
OG0002820 32.01 NA 33.32 34.06 42.46 59.38
OG0002821 30.99 30.43 29.89 27.64 31.92 29.34
OG0002822 29.91 NA 28.89 42.00 31.97 38.30
OG0002823 35.28 31.10 34.13 80.95 33.20 37.93
OG0002824 31.03 30.82 34.49 61.84 33.33 36.79
OG0002825 34.72 39.17 35.74 36.64 32.83 35.17
OG0002826 28.69 33.68 34.03 38.28 31.82 34.69
OG0002827 27.50 40.84 28.73 47.03 24.72 38.82
OG0002829 43.53 56.73 45.95 53.46 50.40 52.25
OG0002830 32.24 36.67 33.40 35.77 31.54 32.32
OG0002831 40.45 30.56 37.67 47.83 33.52 43.38
OG0002832 43.17 36.77 39.82 47.64 41.38 31.37
OG0002834 28.16 38.75 35.31 42.46 37.42 43.61
OG0002835 35.68 34.10 36.26 33.62 35.49 30.96
OG0002837 29.96 28.41 27.42 33.50 27.66 38.66
OG0002838 36.23 34.74 34.67 32.11 35.66 34.51
OG0002840 57.31 40.04 53.74 81.25 64.56 NA
OG0002841 27.95 27.53 29.37 27.64 31.83 32.66
OG0002842 34.39 37.68 31.36 34.26 33.05 38.43
OG0002844 32.20 NA 33.23 30.97 32.88 30.00
OG0002846 40.22 NA 41.96 66.15 39.81 66.15
OG0002847 31.18 44.44 33.12 39.13 31.96 36.42
OG0002849 32.48 37.85 31.20 35.45 32.30 35.75
OG0002851 37.41 73.58 33.58 70.00 41.06 72.32
OG0002853 35.01 32.14 33.50 28.57 34.72 25.00
OG0002855 30.01 34.76 30.70 31.19 29.74 35.63
OG0002856 37.45 33.80 38.40 28.08 38.44 42.80
OG0002857 39.28 35.51 34.82 27.48 42.94 27.75
OG0002859 34.16 38.54 33.89 38.19 33.71 37.30
OG0002861 33.36 66.93 31.37 65.22 34.97 29.10
OG0002862 55.43 30.55 37.89 33.05 30.40 30.68
OG0002863 33.68 NA 33.92 NA 34.18 64.74
OG0002864 33.38 38.09 33.77 36.81 37.61 43.31
OG0002865 36.08 28.88 32.30 31.94 36.48 32.17
OG0002869 28.84 27.06 34.86 27.59 27.73 37.86
OG0002870 NA NA 25.98 48.31 32.39 45.10
OG0002876 70.42 64.00 48.34 NA 62.77 65.76
OG0002877 37.71 35.06 42.72 48.99 40.33 32.27
OG0002880 31.77 34.02 32.57 32.93 31.76 32.41
OG0002884 34.55 34.90 30.55 34.90 30.48 34.84
OG0002885 38.85 30.84 36.51 30.45 36.69 29.76
OG0002887 NA NA 40.00 34.44 34.84 33.22
OG0002888 33.64 17.24 34.09 NA 32.23 23.28
OG0002889 29.86 34.16 30.35 36.80 30.00 42.58
OG0002890 30.11 34.48 24.72 36.66 29.38 31.80
OG0002893 39.46 42.93 41.05 31.90 44.95 42.39
OG0002895 32.04 29.33 32.19 31.19 32.48 30.49
OG0002899 35.42 59.30 31.32 61.71 34.74 NA
OG0002900 35.04 32.20 33.70 27.46 35.63 29.39
OG0002902 34.87 53.57 36.25 52.53 33.41 52.89
OG0002903 37.07 35.10 31.35 46.50 31.15 35.47
OG0002904 37.88 36.06 36.85 35.79 37.55 31.12
OG0002905 50.68 25.29 38.26 26.55 52.29 28.31
OG0002906 34.45 38.78 37.73 36.08 40.34 35.12
OG0002907 46.72 29.05 36.26 30.36 41.47 34.65
OG0002908 29.06 32.20 28.91 27.68 30.19 39.57
OG0002909 31.53 34.10 33.47 35.91 37.55 39.82
OG0002910 35.61 65.45 40.38 68.33 34.85 67.10
OG0002911 34.14 77.78 34.79 68.02 34.17 39.62
OG0002912 NA 31.36 37.04 26.88 31.66 32.09
OG0002914 30.36 30.77 31.86 29.87 29.64 31.71
OG0002915 30.24 31.65 31.35 NA 34.29 27.89
OG0002916 42.36 44.20 36.74 NA 36.18 23.18
OG0002917 33.33 63.16 32.14 67.50 31.53 62.74
OG0002918 37.18 54.55 36.32 59.32 47.72 64.00
OG0002919 36.21 30.86 36.75 31.31 37.08 35.02
OG0002920 33.26 38.93 32.76 27.56 38.83 34.39
OG0002921 34.90 38.13 35.89 29.59 52.08 40.43
OG0002922 37.52 66.95 38.08 26.37 36.68 25.75
OG0002923 34.48 67.07 42.05 67.39 34.00 34.44
OG0002924 20.34 47.15 31.13 50.61 30.00 50.44
OG0002925 28.40 NA 28.49 NA 30.39 NA
OG0002927 36.41 33.33 42.46 32.39 36.26 34.26
OG0002928 37.54 40.09 34.85 41.22 36.83 31.91
OG0002929 38.89 NA 46.09 NA 42.38 NA
OG0002930 30.74 39.93 33.84 40.73 30.76 34.20
OG0002931 45.03 34.54 46.44 36.01 47.48 34.47
OG0002932 29.27 39.13 28.72 33.89 29.29 35.02
OG0002933 19.23 32.04 32.86 26.83 33.63 29.94
OG0002934 28.47 46.46 26.50 30.49 28.81 35.37
OG0002935 29.78 38.84 31.08 40.30 30.83 33.66
OG0002936 33.48 NA 33.03 38.89 36.54 36.51
OG0002937 34.43 35.70 34.35 45.65 38.83 40.47
OG0002940 37.27 30.05 36.01 30.94 35.19 29.82
OG0002942 36.62 34.32 35.17 33.54 29.66 31.69
OG0002943 39.17 33.73 26.30 54.07 38.77 53.29
OG0002944 33.58 67.63 30.46 69.08 30.92 70.06
OG0002945 48.26 39.10 48.62 39.31 38.88 33.78
OG0002946 29.47 39.29 28.73 44.05 27.52 44.94
OG0002947 28.14 28.17 26.97 31.62 27.46 31.72
OG0002948 25.73 29.33 28.33 32.05 NA 29.55
OG0002949 43.42 38.43 35.85 33.80 38.25 40.98
OG0002950 32.42 37.68 32.19 34.16 32.56 35.96
OG0002951 35.73 30.46 30.08 34.05 33.72 34.22
OG0002953 29.25 48.65 28.14 48.23 28.20 42.01
OG0002954 NA 69.71 NA 71.25 47.28 69.27
OG0002955 33.33 63.72 31.21 63.43 33.38 64.95
OG0002956 39.62 31.18 33.30 38.41 36.78 32.24
OG0002957 31.65 41.55 33.37 31.00 30.31 26.58
OG0002958 32.74 51.50 33.06 53.05 33.26 52.65
OG0002959 36.29 40.97 56.56 42.76 39.36 36.66
OG0002960 30.45 45.21 30.65 54.43 16.44 39.06
OG0002961 34.04 42.23 32.37 28.77 32.33 37.74
OG0002962 27.18 30.28 27.59 34.81 26.90 45.34
OG0002963 34.38 32.78 30.17 41.36 31.53 34.84
OG0002965 27.67 NA 29.91 71.24 28.04 64.89
OG0002967 29.69 44.08 25.55 44.95 26.58 39.10
OG0002968 NA 26.32 49.10 31.21 48.38 29.95
OG0002970 27.58 31.01 28.11 31.24 27.72 31.68
OG0002971 30.83 40.37 28.98 32.16 29.05 42.23
OG0002973 32.16 35.33 37.22 43.36 37.81 39.25
OG0002974 29.19 27.49 27.13 30.84 28.04 30.86
OG0002979 30.86 61.44 32.16 53.33 29.93 35.97
OG0002980 33.47 41.41 34.22 34.00 34.34 34.78
OG0002981 23.34 33.12 23.53 39.26 32.22 30.86
OG0002982 37.82 NA 32.93 56.00 45.16 NA
OG0002984 30.51 28.96 30.54 28.32 29.43 28.17
OG0002986 30.48 55.01 30.08 58.43 30.51 59.78
OG0002987 42.82 NA 41.64 35.94 38.59 NA
OG0002988 30.47 39.52 32.79 35.12 29.67 30.25
