sp contig logFC pval sp contig logFC pval sp contig logFC pval sp contig logFC pval OG contig_BAT 1+2GC% 3rdGC% totGC% contig_BRO 1+2GC% 3rdGC% totGC% contig_BGM 1+2GC% 3rdGC% totGC%
BGM_M TRINITY_DN64944_c0_g1 40.7870655507104 3.32717983129808e-15 BAT TRINITY_DN10244_c0_g1 10.310180888415 3.43003564882201e-09 BRO TRINITY_DN74294_c0_g1 15.3816665260336 9.70676005017266e-05 BGM TRINITY_DN64944_c0_g1 6.16363982462039 3.51078262325588e-05 OG0003129 TRINITY_DN10244_c0_g1_i1.p1 51.21 64.24 55.56 TRINITY_DN74294_c0_g1_i1.p1 48.96 60.42 52.78 TRINITY_DN64944_c0_g1_i1.p1 51.21 64.85 55.76
BGM_M TRINITY_DN1456_c1_g1 20.246917486647 6.97549125018162e-10 BAT TRINITY_DN10850_c0_g4 31.2073417231413 2.55777611060384e-17 BRO TRINITY_DN89370_c0_g2 48.6809638818807 1.10446686224485e-14 BGM TRINITY_DN1456_c1_g1 9.31620319083511 3.86469679867789e-09 OG0003130 TRINITY_DN10850_c0_g4_i4.p1 57.91 81.70 66.05 TRINITY_DN89370_c0_g2_i1.p1 56.30 84.25 65.62 TRINITY_DN1456_c1_g1_i1.p1 57.48 84.65 66.54
BGM_M TRINITY_DN1326_c3_g1 19.3129469610187 2.52364731019879e-06 BAT TRINITY_DN114740_c0_g1 22.5020561558375 0.0485074407412592 BRO TRINITY_DN830_c1_g2 20.8999843009535 0.197894199114093 BGM TRINITY_DN1326_c3_g1 25.2812826686006 0.00592414844678028 OG0003131 TRINITY_DN114740_c0_g1_i5.p1 51.00 83.69 61.90 TRINITY_DN830_c1_g2_i7.p1 55.75 82.48 64.66 TRINITY_DN1326_c3_g1_i5.p1 52.89 84.49 63.43
BGM_M TRINITY_DN2633_c2_g1 21.952197131259 0.0255294976951564 BAT TRINITY_DN1199_c9_g1 2288.00408186998 0.916785488130106 BRO TRINITY_DN4300_c1_g1 2133.23910030088 0.240964824777682 BGM TRINITY_DN2633_c2_g1 29.1823340063887 0.532117343908624 OG0003132 TRINITY_DN1199_c9_g1_i1.p1 53.17 91.71 66.02 TRINITY_DN4300_c1_g1_i5.p1 53.66 92.68 66.67 TRINITY_DN2633_c2_g1_i1.p2 45.69 59.83 50.72
BGM_M TRINITY_DN1243_c0_g1 74.5094549892189 4.56280459260805e-38 BAT TRINITY_DN1288_c0_g1 93.4429784825549 2.07918742535258e-18 BRO TRINITY_DN1153_c0_g1 320.701126176377 8.41285965946e-62 BGM TRINITY_DN1243_c0_g1 103.538300192926 3.15556775938213e-26 OG0003135 TRINITY_DN1288_c0_g1_i8.p1 48.54 70.76 55.95 TRINITY_DN1153_c0_g1_i1.p1 48.46 66.96 54.63 TRINITY_DN1243_c0_g1_i6.p1 48.06 63.18 53.10
BGM_M TRINITY_DN1816_c0_g2 95.119126231752 0.015146160179163 BAT TRINITY_DN16288_c0_g1 71.6308178931307 0.0340865638554798 BRO TRINITY_DN24148_c0_g2 143.819989903529 1.08199137860136e-05 BGM TRINITY_DN1816_c0_g2 50.7559497642936 0.690117426821729 OG0003137 TRINITY_DN16288_c0_g1_i6.p1 53.79 94.59 67.39 TRINITY_DN24148_c0_g2_i1.p1 55.10 96.75 68.98 TRINITY_DN1816_c0_g2_i3.p1 53.90 95.02 67.60
BGM_M TRINITY_DN12499_c0_g1 31.7752957011959 6.57916813149524e-05 BAT TRINITY_DN16939_c0_g1 19.6050115356579 0.56747148358707 BRO TRINITY_DN175146_c0_g1 4.66470916950464 0.65067287552887 BGM TRINITY_DN12499_c0_g1 12.1855593824259 0.567982930117245 OG0003138 TRINITY_DN16939_c0_g1_i3.p1 52.98 83.51 63.16 TRINITY_DN175146_c0_g1_i1.p1 47.00 81.74 58.72 TRINITY_DN12499_c0_g1_i5.p1 53.15 82.52 63.03
BGM_M TRINITY_DN78592_c0_g2 376.315247895982 0.00463957763611229 BAT TRINITY_DN172707_c0_g1 407.498888122929 4.30309387388985e-13 BRO TRINITY_DN7497_c0_g2 702.063419602634 0.00581743544586265 BGM TRINITY_DN78592_c0_g2 322.585945898792 1.11496513082399e-05 OG0003139 TRINITY_DN172707_c0_g1_i5.p1 41.35 64.93 49.21 TRINITY_DN7497_c0_g2_i7.p1 41.96 65.91 49.95 TRINITY_DN78592_c0_g2_i3.p1 42.86 66.23 50.65
BGM_M TRINITY_DN16631_c1_g1 2.24397005218321 0.712862119178235 BAT TRINITY_DN17288_c2_g1 4.15562439596659 4.84115968747928e-05 BRO TRINITY_DN40908_c0_g1 6.02254384165432 2.95327094429017e-05 BGM TRINITY_DN16631_c1_g1 1.53280055974472 0.992444590915455 OG0003140 TRINITY_DN17288_c2_g1_i1.p3 52.86 98.68 68.14 TRINITY_DN40908_c0_g1_i1.p1 59.66 79.32 66.21 TRINITY_DN16631_c1_g1_i7.p2 53.48 91.44 66.13
BGM_M TRINITY_DN12658_c0_g1 14.6987273877207 0.00062801739540999 BAT TRINITY_DN184136_c0_g2 3.6237141340324 0.000443554267959065 BRO TRINITY_DN110491_c0_g2 17.6645777654991 7.93838946382997e-13 BGM TRINITY_DN12658_c0_g1 49.2987421408973 5.68324122814605e-19 OG0003142 TRINITY_DN184136_c0_g2_i1.p1 41.23 32.94 38.47 TRINITY_DN110491_c0_g2_i2.p1 40.33 33.15 37.94 TRINITY_DN12658_c0_g1_i1.p1 40.70 34.17 38.52
