BAT_transcript BAT_logFC BAT_padj BRO_transcript BRO_logFC BRO_padj BGM_transcript BGM_logFC BGM_padj OG
TRINITY_DN10683_c0_g1 -9.05493100063775 1.49055489623222e-11 TRINITY_DN52612_c0_g1 -10.7646780763991 2.03698574780865e-22 TRINITY_DN86526_c0_g3 -5.00854378890473 2.36053631155127e-05 OG0002803
TRINITY_DN10850_c0_g4 -6.91301627926118 2.55777611060384e-17 TRINITY_DN89370_c0_g2 -9.21088397841643 1.10446686224485e-14 TRINITY_DN1456_c1_g1 -6.25541521013614 3.86469679867789e-09 OG0002804
TRINITY_DN1199_c9_g1 -0.0394467124539288 0.916785488130106 TRINITY_DN4300_c1_g1 0.181532040928614 0.240964824777682 TRINITY_DN2633_c2_g1 -0.276559259453669 0.532117343908624 OG0002805
TRINITY_DN1288_c0_g1 -2.73200925064659 2.07918742535258e-18 TRINITY_DN1153_c0_g1 -2.94628133560908 8.41285965946e-62 TRINITY_DN1243_c0_g1 -2.2249797874521 3.15556775938213e-26 OG0002806
TRINITY_DN16939_c0_g1 0.315450589107647 0.56747148358707 TRINITY_DN175146_c0_g1 0.325467740250553 0.65067287552887 TRINITY_DN12499_c0_g1 0.361916354147964 0.567982930117245 OG0002808
TRINITY_DN172707_c0_g1 -2.08404297142736 4.30309387388985e-13 TRINITY_DN7497_c0_g2 -1.56514476620891 0.00581743544586265 TRINITY_DN78592_c0_g2 -1.50109490699206 1.11496513082399e-05 OG0002810
TRINITY_DN17288_c2_g1 -6.40859600096844 4.84115968747928e-05 TRINITY_DN40908_c0_g1 -2.29625924845844 2.95327094429017e-05 TRINITY_DN16631_c1_g1 -0.0151581161612824 0.992444590915455 OG0002811
TRINITY_DN2254_c0_g1 0.245223567104422 0.224854061028329 TRINITY_DN3553_c0_g1 0.547374498622005 0.000182335531138067 TRINITY_DN6614_c0_g2 0.51658294662822 0.0013369273030679 OG0002813
TRINITY_DN2299_c0_g1 2.34814036132394 1.4744980606975e-13 TRINITY_DN396_c0_g1 0.9217335877736 1.1632203159652e-05 TRINITY_DN18636_c0_g1 2.76222633619522 2.40599786474321e-22 OG0002815
TRINITY_DN2374_c0_g1 -0.607884741532025 0.0159690020647183 TRINITY_DN9193_c2_g2 0.0992002216094962 0.800775102629109 TRINITY_DN6574_c2_g1 -0.307499272332752 0.553069959460415 OG0002817
