OG BGM_model BGM_dNdS BGM_t BGM_dN BGM_dS BAT_model BAT_dNdS BAT_t BAT_dN BAT_dS BRO_model BRO_dNdS BRO_t BRO_dN BRO_dS
OG0002803 general 0.6776 0.006 0.0019 0.0028 general 0.6776 0.003 0.0008 0.0011 general 0.6776 0.010 0.0030 0.0044
OG0002804 general 0.2647 0.022 0.0044 0.0167 general 0.2647 0.066 0.0135 0.0510 general 0.2647 0.037 0.0077 0.0290
OG0002805 alternative 0.1895 1.764 0.3180 1.6782 alternative 2.4613 0.000 0.0000 0.0000 alternative 0.0399 0.035 0.0020 0.0512
OG0002806 alternative 0.3561 0.021 0.0047 0.0133 alternative 391.6644 0.011 0.0047 0.0000 alternative 658.5875 0.026 0.0115 0.0000
OG0002808 general 0.1777 0.024 0.0040 0.0227 general 0.1777 0.013 0.0021 0.0121 general 0.1777 0.013 0.0021 0.0121
OG0002810 general 0.4339 0.029 0.0073 0.0169 general 0.4339 0.017 0.0042 0.0097 general 0.4339 0.043 0.0108 0.0249
OG0002811 general 0.1558 0.074 0.0132 0.0847 general 0.1558 0.099 0.0177 0.1134 general 0.1558 0.000 0.0000 0.0000
OG0002813 general 0.0792 0.014 0.0014 0.0182 general 0.0792 0.009 0.0009 0.0118 general 0.0792 0.024 0.0025 0.0315
OG0002815 general 0.2005 0.017 0.0030 0.0149 general 0.2005 0.011 0.0020 0.0098 general 0.2005 0.032 0.0057 0.0284
OG0002817 general 0.0516 0.016 0.0015 0.0283 general 0.0516 0.038 0.0034 0.0666 general 0.0516 0.031 0.0028 0.0548
OG0002818 general 0.2103 0.023 0.0041 0.0196 general 0.2103 0.014 0.0026 0.0124 general 0.2103 0.006 0.0010 0.0048
OG0002819 general 0.1280 0.010 0.0016 0.0122 general 0.1280 0.016 0.0025 0.0196 general 0.1280 0.039 0.0063 0.0488
OG0002820 general 0.0981 0.004 0.0005 0.0050 general 0.0981 0.006 0.0007 0.0071 general 0.0981 0.013 0.0015 0.0149
OG0002821 general 0.1652 0.007 0.0010 0.0060 general 0.1652 0.009 0.0013 0.0079 general 0.1652 0.027 0.0038 0.0229
OG0002822 general 0.0497 0.010 0.0005 0.0109 general 0.0497 0.012 0.0006 0.0131 general 0.0497 0.017 0.0009 0.0191
OG0002823 alternative 0.0084 0.012 0.0003 0.0312 alternative 0.0062 0.012 0.0002 0.0333 alternative 0.0094 0.030 0.0008 0.0799
OG0002824 general 0.0353 0.006 0.0004 0.0107 general 0.0353 0.011 0.0006 0.0182 general 0.0353 0.041 0.0025 0.0710
OG0002825 general 0.0918 0.004 0.0004 0.0041 general 0.0918 0.005 0.0005 0.0057 general 0.0918 0.013 0.0014 0.0149
OG0002826 general 0.3184 0.010 0.0022 0.0070 general 0.3184 0.010 0.0022 0.0068 general 0.3184 0.045 0.0097 0.0304
OG0002827 general 0.2129 0.013 0.0023 0.0109 general 0.2129 0.038 0.0070 0.0327 general 0.2129 0.169 0.0306 0.1439
OG0002829 general 0.1618 0.005 0.0011 0.0065 general 0.1618 0.015 0.0031 0.0194 general 0.1618 0.044 0.0094 0.0582
OG0002830 general 0.0726 0.005 0.0004 0.0056 general 0.0726 0.007 0.0006 0.0083 general 0.0726 0.023 0.0019 0.0267
OG0002831 alternative 0.0001 0.017 0.0000 0.0251 alternative 0.0369 0.019 0.0009 0.0253 alternative 0.1548 0.163 0.0243 0.1567
OG0002832 alternative 0.3368 0.045 0.0103 0.0305 alternative 2.3725 0.000 0.0000 0.0000 alternative 0.4144 0.171 0.0426 0.1029
OG0002834 general 0.2542 0.008 0.0014 0.0054 general 0.2542 0.024 0.0041 0.0163 general 0.2542 0.020 0.0035 0.0136
OG0002835 general 0.1731 0.004 0.0006 0.0035 general 0.1731 0.006 0.0008 0.0047 general 0.1731 0.004 0.0006 0.0035
OG0002837 general 0.1197 0.005 0.0007 0.0059 general 0.1197 0.032 0.0046 0.0387 general 0.1197 0.014 0.0021 0.0173
OG0002838 alternative 0.1893 0.008 0.0014 0.0073 alternative 0.5849 0.086 0.0253 0.0432 alternative 0.0554 0.030 0.0023 0.0418
OG0002840 general 0.1649 0.005 0.0007 0.0044 general 0.1649 0.023 0.0037 0.0222 general 0.1649 0.005 0.0009 0.0052
OG0002841 general 0.0597 0.009 0.0008 0.0142 general 0.0597 0.010 0.0010 0.0165 general 0.0597 0.000 0.0000 0.0005
OG0002842 alternative 0.0001 0.003 0.0000 0.0105 alternative 0.0409 0.013 0.0014 0.0331 alternative 0.1844 0.085 0.0197 0.1071
OG0002844 general 0.3857 0.455 0.1109 0.2875 general 0.3857 0.012 0.0028 0.0073 general 0.3857 0.036 0.0089 0.0230
OG0002846 general 0.2275 0.000 0.0000 0.0000 general 0.2275 0.016 0.0039 0.0170 general 0.2275 0.006 0.0014 0.0061
OG0002847 general 0.1590 0.003 0.0004 0.0026 general 0.1590 0.000 0.0000 0.0000 general 0.1590 0.006 0.0008 0.0052
OG0002849 alternative 0.2019 0.172 0.0348 0.1726 alternative 0.1547 0.009 0.0016 0.0101 alternative 0.0781 0.025 0.0028 0.0361
OG0002851 general 0.1415 0.008 0.0011 0.0078 general 0.1415 0.024 0.0032 0.0224 general 0.1415 0.036 0.0048 0.0338
OG0002853 general 0.2579 0.008 0.0016 0.0063 general 0.2579 0.013 0.0024 0.0094 general 0.2579 0.009 0.0016 0.0064
OG0002855 alternative 0.0885 0.009 0.0008 0.0095 alternative 0.0638 0.010 0.0007 0.0117 alternative 0.3486 0.012 0.0027 0.0079
OG0002856 general 0.0828 0.007 0.0010 0.0118 general 0.0828 0.012 0.0017 0.0206 general 0.0828 0.028 0.0042 0.0504
OG0002857 general 0.1488 0.012 0.0017 0.0113 general 0.1488 0.008 0.0011 0.0071 general 0.1488 0.013 0.0018 0.0118
OG0002859 general 0.0303 0.010 0.0006 0.0193 general 0.0303 0.008 0.0005 0.0149 general 0.0303 0.003 0.0001 0.0047
OG0002861 general 0.0486 0.003 0.0002 0.0036 general 0.0486 0.008 0.0005 0.0107 general 0.0486 0.021 0.0014 0.0292
OG0002862 alternative 0.0430 0.004 0.0003 0.0065 alternative 0.3649 0.484 0.1271 0.3482 alternative 0.0795 0.016 0.0019 0.0242
OG0002863 general 0.1739 0.008 0.0016 0.0093 general 0.1739 0.009 0.0019 0.0108 general 0.1739 0.001 0.0002 0.0012
OG0002864 general 0.0830 0.005 0.0008 0.0101 general 0.0830 0.002 0.0004 0.0050 general 0.0830 0.080 0.0135 0.1624
OG0002865 general 0.1025 0.005 0.0007 0.0069 general 0.1025 0.065 0.0085 0.0825 general 0.1025 0.000 0.0000 0.0000
OG0002869 general 0.0416 0.005 0.0002 0.0055 general 0.0416 0.004 0.0002 0.0045 general 0.0416 0.013 0.0006 0.0136
OG0002870 general 0.2273 0.006 0.0011 0.0047 general 0.2273 0.005 0.0008 0.0036 general 0.2273 0.005 0.0008 0.0035
OG0002876 general 0.1178 0.004 0.0007 0.0061 general 0.1178 0.027 0.0045 0.0384 general 0.1178 0.046 0.0077 0.0656
OG0002877 general 0.1762 0.007 0.0014 0.0077 general 0.1762 0.006 0.0011 0.0061 general 0.1762 0.000 0.0000 0.0000
OG0002880 general 0.0715 0.004 0.0002 0.0031 general 0.0715 0.003 0.0002 0.0025 general 0.0715 0.004 0.0002 0.0030
OG0002881 general 0.2689 0.011 0.0025 0.0095 general 0.2689 0.016 0.0039 0.0145 general 0.2689 0.000 0.0000 0.0000
OG0002883 general 0.3688 0.010 0.0022 0.0061 general 0.3688 0.026 0.0060 0.0164 general 0.3688 0.092 0.0211 0.0572
OG0002884 general 0.0671 0.022 0.0026 0.0388 general 0.0671 0.010 0.0012 0.0173 general 0.0671 0.036 0.0042 0.0624
OG0002885 general 0.0911 0.002 0.0002 0.0022 general 0.0911 0.006 0.0005 0.0055 general 0.0911 0.031 0.0028 0.0308
OG0002886 general 0.3484 0.082 0.0214 0.0615 general 0.3484 0.029 0.0076 0.0219 general 0.3484 0.000 0.0000 0.0000
OG0002887 general 0.2186 0.008 0.0013 0.0059 general 0.2186 0.054 0.0092 0.0422 general 0.2186 0.009 0.0016 0.0074
OG0002888 general 0.2971 0.005 0.0010 0.0035 general 0.2971 0.011 0.0025 0.0084 general 0.2971 0.000 0.0000 0.0000
OG0002889 general 0.3993 0.006 0.0015 0.0037 general 0.3993 0.005 0.0011 0.0027 general 0.3993 0.015 0.0034 0.0085
OG0002890 general 0.2188 0.005 0.0008 0.0039 general 0.2188 0.008 0.0015 0.0068 general 0.2188 0.008 0.0014 0.0066
OG0002893 alternative 0.2780 0.025 0.0052 0.0188 alternative 0.0537 0.011 0.0007 0.0135 alternative 0.0621 0.013 0.0009 0.0152
OG0002895 general 0.0472 0.002 0.0002 0.0037 general 0.0472 0.002 0.0002 0.0036 general 0.0472 0.009 0.0007 0.0138
OG0002899 general 0.0532 0.003 0.0002 0.0045 general 0.0532 0.004 0.0003 0.0050 general 0.0532 0.014 0.0011 0.0203
