OG BRO-BGM BAT-BGM BAT-BRO PHY-BAT PHY-BRO PHY-BGM
OG0002803 1.52 0.91 1.22 35.47 37.96 36.87
OG0002804 4.90 7.18 8.33 47.02 45.80 45.30
OG0002805 44.08 40.29 3.17 12.99 13.77 45.20
OG0002806 5.83 1.59 3.00 22.20 22.73 21.94
OG0002808 2.25 3.17 2.04 29.69 31.32 30.31
OG0002810 6.83 4.24 5.59 117.26 117.26 120.39
OG0002811 5.62 8.95 7.40 31.71 29.28 49.66
OG0002813 4.42 1.76 4.07 25.93 25.09 26.33
OG0002815 3.79 1.96 2.85 45.54 46.53 46.13
OG0002817 2.90 3.20 3.80 23.22 23.18 23.18
OG0002818 6.49 3.66 4.88 36.84 36.20 38.72
OG0002819 4.26 2.10 4.70 26.26 27.74 25.96
OG0002820 1.69 0.70 2.17 19.52 19.33 13.83
OG0002821 3.42 1.33 3.70 24.38 25.34 24.21
OG0002822 2.33 1.39 2.96 19.89 20.49 20.19
OG0002823 2.38 1.49 2.45 16.53 17.18 16.81
OG0002824 2.92 1.13 3.05 20.63 22.79 20.47
OG0002825 2.95 0.70 3.06 19.32 18.04 19.32
OG0002826 6.11 1.88 5.99 35.95 40.19 35.56
OG0002827 12.59 4.23 13.65 44.81 50.80 44.32
OG0002829 6.70 1.83 7.42 45.48 99.61 45.48
OG0002830 2.74 0.95 2.95 19.18 19.26 18.99
OG0002831 6.96 2.20 6.49 24.36 28.55 22.82
OG0002832 73.61 3.73 9.97 20.92 28.73 22.60
OG0002834 3.58 2.84 4.88 32.46 32.23 33.36
OG0002835 1.54 0.86 1.64 24.20 23.80 23.93
OG0002837 5.17 2.38 8.03 26.78 23.87 25.72
OG0002838 2.54 4.31 5.87 22.45 18.08 18.56
OG0002840 3.37 1.67 6.18 39.89 38.16 39.16
OG0002841 1.82 1.48 1.94 18.13 16.71 18.56
OG0002842 7.47 1.53 8.32 15.54 87.08 15.85
OG0002844 30.03 29.47 4.30 47.77 52.59 57.16
OG0002846 0.56 1.57 2.09 72.22 74.58 74.27
