OG BAT_len BAT_nvar BGM_len BGM_nvar BRO_len BRO_nvar
OG0003129 - 0 - 0 - 0
OG0003130 - 0 763 4 - 0
OG0003131 - 0 2284 1 - 0
OG0003132 - 0 346 4 - 0
OG0003135 - 0 775 1 1153 33
OG0003137 - 0 1387 2 - 0
OG0003138 304 7 1711 2 - 0
OG0003139 - 0 1849 14 - 0
OG0003140 - 0 562 1 - 0
OG0003142 - 0 1678 1 - 0
OG0003143 - 0 1363 5 - 0
OG0003144 - 0 2263 2 - 0
OG0003146 - 0 1489 3 - 0
OG0003149 - 0 - 0 - 0
OG0003150 - 0 2248 1 - 0
OG0003151 - 0 982 4 - 0
OG0003152 - 0 355 1 - 0
OG0003153 - 0 - 0 - 0
OG0003154 - 0 - 0 - 0
OG0003155 - 0 5137 47 - 0
OG0003156 - 0 985 4 - 0
OG0003158 - 0 637 7 - 0
OG0003159 - 0 1858 3 - 0
OG0003160 - 0 - 0 - 0
OG0003161 - 0 - 0 - 0
OG0003162 3802 8 1504 2 - 0
OG0003164 3517 31 7168 4 - 0
OG0003165 - 0 808 5 - 0
OG0003166 - 0 2014 2 - 0
OG0003168 - 0 1243 1 - 0
OG0003169 - 0 766 9 - 0
OG0003170 - 0 1903 2 - 0
OG0003171 - 0 2644 2 - 0
OG0003172 - 0 1129 1 - 0
OG0003173 - 0 - 0 - 0
OG0003174 - 0 - 0 - 0
OG0003175 1108 9 3499 1 1516 3
OG0003176 - 0 - 0 - 0
OG0003178 - 0 1432 4 - 0
OG0003179 - 0 1879 2 - 0
OG0003180 - 0 - 0 - 0
OG0003182 - 0 - 0 - 0
OG0003185 - 0 2416 4 - 0
OG0003186 - 0 2122 3 - 0
OG0003187 - 0 1051 1 - 0
OG0003188 - 0 706 2 - 0
OG0003189 - 0 - 0 - 0
OG0003190 - 0 772 6 - 0
OG0003191 - 0 997 1 - 0
OG0003192 1216 6 1201 3 - 0
OG0003193 - 0 853 2 - 0
OG0003194 - 0 892 1 - 0
OG0003195 2881 7 7093 7 - 0
OG0003196 4117 26 3232 5 - 0
OG0003198 1225 7 460 3 - 0
OG0003199 - 0 - 0 1468 2
OG0003200 - 0 2146 4 - 0
OG0003201 - 0 1348 1 - 0
OG0003202 - 0 1759 4 - 0
OG0003203 - 0 1444 1 - 0
OG0003205 - 0 - 0 - 0
OG0003207 - 0 1759 1 - 0
OG0003208 - 0 1900 13 985 9
OG0003209 - 0 2293 2 - 0
OG0003210 - 0 - 0 - 0
OG0003212 - 0 - 0 - 0
OG0003213 - 0 2131 4 - 0
OG0003214 - 0 - 0 - 0
OG0003215 - 0 1012 2 - 0
OG0003217 - 0 - 0 - 0
OG0003218 - 0 - 0 - 0
OG0003220 - 0 1786 5 - 0
OG0003221 - 0 2164 1 - 0
OG0003222 - 0 2788 4 - 0
OG0003223 - 0 2734 3 - 0
OG0003224 - 0 2857 1 - 0
OG0003226 - 0 1783 4 - 0
OG0003227 - 0 775 2 - 0
OG0003228 - 0 508 3 - 0
OG0003229 - 0 541 2 - 0
OG0003230 - 0 - 0 - 0
OG0003231 - 0 - 0 - 0
OG0003232 2791 7 - 0 - 0
OG0003233 - 0 1429 3 - 0
OG0003234 - 0 1252 4 - 0
OG0003235 - 0 1276 19 - 0
OG0003236 1633 8 772 2 3211 150
OG0003237 - 0 1483 1 - 0
OG0003238 - 0 - 0 1930 57
OG0003239 - 0 1759 3 - 0
OG0003240 2953 7 2587 8 - 0
OG0003241 - 0 2605 14 - 0
OG0003242 - 0 2503 14 - 0
OG0003244 - 0 1618 6 - 0
OG0003245 - 0 1705 1 - 0
OG0003246 - 0 - 0 - 0
OG0003247 - 0 1996 1 - 0
OG0003248 - 0 1510 2 - 0
OG0003249 - 0 1240 3 - 0
OG0003250 - 0 619 2 - 0
OG0003251 - 0 1021 2 - 0
OG0003252 - 0 403 1 - 0
OG0003253 - 0 - 0 - 0
OG0003254 382 20 - 0 - 0
OG0003257 - 0 6076 17 - 0
OG0003259 - 0 790 1 - 0
OG0003260 - 0 2878 11 - 0
OG0003261 - 0 - 0 - 0
OG0003263 - 0 - 0 - 0
OG0003264 - 0 1381 2 - 0
OG0003265 - 0 - 0 - 0
