OG BAT_bs_omega_model BAT_bs_omega_sites BRO_bs_omega_model BRO_bs_omega_sites BGM_bs_omega_model BGM_bs_omega_sites
OG0002803 general 0 general 0 NA NA
OG0002804 alternative 1 general 0 general 0
OG0002805 general 0 general 0 general 0
OG0002806 general 0 alternative 2 general 0
OG0002808 general 0 general 0 general 0
OG0002810 alternative 3 general 0 general 0
OG0002811 general 0 general 0 general 0
OG0002813 general 0 general 0 general 0
OG0002815 general 0 general 0 general 0
OG0002817 general 0 general 0 general 0
OG0002818 general 0 general 0 general 0
OG0002819 general 0 general 0 general 0
OG0002820 general 0 general 0 general 0
OG0002821 general 0 general 0 general 0
OG0002822 general 0 general 0 general 0
OG0002823 general 0 general 0 general 0
OG0002824 general 0 general 0 general 0
OG0002825 general 0 general 0 general 0
OG0002826 general 0 general 0 general 0
OG0002827 general 0 general 0 general 0
OG0002829 general 0 general 0 general 0
OG0002830 general 0 general 0 general 0
OG0002831 general 0 alternative 8 general 0
OG0002832 general 0 alternative 13 alternative 5
OG0002834 general 0 general 0 general 0
OG0002835 NA NA general 0 general 0
OG0002837 general 0 alternative 0 general 0
OG0002838 alternative 5 general 0 general 0
OG0002840 general 0 general 0 general 0
OG0002841 general 0 general 0 general 0
OG0002842 general 0 general 0 general 0
OG0002844 general 0 general 0 general 0
OG0002846 alternative 1 general 0 general 0
OG0002847 general 0 NA NA general 0
OG0002849 general 0 general 0 alternative 11
OG0002851 general 0 general 0 general 0
OG0002853 general 0 general 0 general 0
OG0002855 general 0 general 0 general 0
OG0002856 general 0 alternative 5 general 0
OG0002857 general 0 general 0 general 0
OG0002859 general 0 general 0 general 0
OG0002861 general 0 general 0 general 0
OG0002862 alternative 59 general 0 general 0
OG0002863 general 0 general 0 general 0
OG0002864 general 0 alternative 4 general 0
OG0002865 alternative 8 general 0 general 0
OG0002869 NA NA general 0 general 0
OG0002870 general 0 general 0 general 0
OG0002876 general 0 general 0 general 0
OG0002877 general 0 general 0 general 0
OG0002880 general 0 general 0 general 0
OG0002881 general 0 general 0 general 0
OG0002883 general 0 general 0 general 0
OG0002884 general 0 general 0 general 0
OG0002885 general 0 general 0 general 0
OG0002886 general 0 general 0 alternative 1
OG0002887 alternative 1 general 0 general 0
OG0002888 general 0 general 0 NA NA
OG0002889 general 0 general 0 general 0
OG0002890 general 0 general 0 general 0
OG0002893 general 0 general 0 alternative 3
OG0002895 general 0 general 0 general 0
OG0002899 NA NA general 0 NA NA
OG0002900 general 0 general 0 general 0
OG0002902 general 0 general 0 general 0
OG0002903 general 0 general 0 general 0
OG0002904 general 0 general 0 general 0
OG0002905 alternative 2 general 0 alternative 0
OG0002906 general 0 general 0 general 0
OG0002907 alternative 8 general 0 general 0
OG0002908 general 0 general 0 general 0
OG0002909 general 0 general 0 alternative 6
OG0002910 general 0 general 0 general 0
OG0002911 general 0 alternative 0 alternative 7
