OG BAT_len BAT_nvar BGM_len BGM_nvar BRO_len BRO_nvar
OG - 0 - 0 - 0
OG0003129 496 1 496 1 - 0
OG0003130 700 4 763 0 - 0
OG0003131 - 0 2284 0 - 0
OG0003132 616 1 346 0 - 0
OG0003135 514 1 775 0 682 1
OG0003137 1387 14 1387 2 - 0
OG0003138 1711 5 1711 0 - 0
OG0003139 1840 13 1849 12 - 0
OG0003140 682 0 562 0 - 0
OG0003142 1540 0 1678 1 - 0
OG0003143 1363 1 1363 1 - 0
OG0003144 2650 4 2263 2 - 0
OG0003146 1513 10 1489 1 - 0
OG0003149 4042 11 - 0 4042 0
OG0003150 2254 9 2248 1 - 0
OG0003151 805 10 982 4 - 0
OG0003152 673 6 355 1 - 0
OG0003153 - 0 - 0 - 0
OG0003154 625 1 - 0 646 0
OG0003155 4819 8 5137 22 5119 0
OG0003156 - 0 985 4 - 0
OG0003158 487 3 637 6 - 0
OG0003159 4171 3 1858 3 - 0
OG0003160 1048 1 - 0 - 0
OG0003161 1168 8 - 0 - 0
OG0003162 - 0 1504 4 - 0
OG0003164 7171 17 7168 1 - 0
OG0003165 - 0 808 4 - 0
OG0003166 2014 4 - 0 - 0
OG0003168 1243 6 1243 2 - 0
OG0003169 796 2 766 5 - 0
OG0003170 1930 10 1903 1 1963 16
OG0003171 2644 9 2644 2 - 0
OG0003172 - 0 1129 0 - 0
OG0003173 466 1 - 0 - 0
OG0003174 1423 1 - 0 - 0
OG0003175 3499 17 3499 1 - 0
OG0003176 - 0 - 0 - 0
OG0003178 1432 8 1432 4 1162 0
OG0003179 2281 2 1879 4 1252 0
OG0003180 1423 6 829 0 775 0
OG0003182 2593 14 2608 2 - 0
OG0003185 - 0 2416 2 - 0
OG0003186 3061 20 2122 2 - 0
OG0003187 - 0 1051 1 - 0
OG0003188 2617 4 706 0 - 0
OG0003189 1804 3 - 0 - 0
OG0003190 1354 16 772 6 787 0
OG0003191 - 0 - 0 - 0
OG0003192 - 0 1201 2 - 0
OG0003193 919 7 853 2 - 0
OG0003194 892 8 892 2 - 0
